cpu,num_downloads,python_version,glibc_version
x86_64,6455639,3.10,2.35
x86_64,5904628,3.11,2.35
x86_64,5166052,3.12,2.39
x86_64,3876258,3.11,2.36
x86_64,3598911,3.9,2.27
x86_64,2990144,3.11,2.39
x86_64,2652252,3.11,2.34
aarch64,2495095,3.10,2.35
x86_64,2354285,3.12,2.36
x86_64,2318930,3.10,2.39
x86_64,1795523,3.12,2.35
x86_64,1792837,3.9,2.31
x86_64,1765802,3.9,2.39
x86_64,1730092,3.10,2.36
x86_64,1618665,3.10,2.31
x86_64,1326715,3.9,2.35
x86_64,1187610,3.8,2.31
x86_64,1102561,3.9,2.36
x86_64,1066356,3.12,2.31
x86_64,984485,3.13,2.39
x86_64,958875,3.11,2.31
x86_64,931806,3.10,2.26
aarch64,879998,3.9,2.34
x86_64,758628,3.13,2.36
x86_64,705074,3.9,2.34
aarch64,609508,3.11,2.36
x86_64,549738,3.8,2.39
x86_64,515607,3.12,2.34
x86_64,444616,3.9,2.26
x86_64,406897,3.13,2.35
x86_64,358972,3.9,2.28
aarch64,353411,3.11,2.35
x86_64,346332,3.13,2.31
aarch64,335535,3.10,2.34
aarch64,328801,3.9,2.36
aarch64,316287,3.9,2.35
aarch64,245854,3.12,2.36
x86_64,214002,3.11,2.28
x86_64,203074,3.10,2.28
aarch64,191823,3.12,2.39
x86_64,182442,3.8,2.36
x86_64,164724,3.8,2.26
aarch64,158325,3.10,2.36
aarch64,157005,3.9,2.31
x86_64,156191,3.8,2.28
x86_64,136601,3.12,2.28
x86_64,131546,3.13,2.41
x86_64,108499,3.12,2.40
x86_64,103766,3.11,2.41
x86_64,100756,3.8,2.35
x86_64,92679,3.10,2.34
x86_64,85552,3.11,2.26
aarch64,69279,3.13,2.36
x86_64,67622,3.11,2.40
aarch64,65726,3.11,2.34
x86_64,63195,3.9,2.17
x86_64,61760,3.8,2.27
x86_64,49203,3.13,2.34
aarch64,46237,3.12,2.35
aarch64,43926,3.11,2.31
x86_64,42540,3.12,2.41
aarch64,38646,3.12,2.34
aarch64,35178,3.11,2.39
aarch64,33845,3.8,2.31
x86_64,27727,3.10,2.41
x86_64,24577,3.12,2.38
x86_64,23697,3.10,2.17
aarch64,22250,3.10,2.31
x86_64,21871,3.13,2.28
aarch64,19982,3.12,2.31
x86_64,18354,3.13,2.40
x86_64,18184,3.10,2.27
x86_64,16683,3.11,2.38
aarch64,14256,3.13,2.39
aarch64,14152,3.13,2.34
aarch64,12686,3.13,2.41
x86_64,11657,3.9,2.41
aarch64,11524,3.9,2.26
aarch64,10506,3.10,2.26
x86_64,10244,3.11,2.19
x86_64,9376,3.11,2.17
x86_64,8396,3.8,2.34
aarch64,7969,3.8,2.26
x86_64,7586,3.8,2.17
x86_64,7558,3.10,2.40
aarch64,7557,3.11,2.41
aarch64,7503,3.11,2.28
aarch64,7051,3.9,2.39
aarch64,5971,3.9,2.28
x86_64,5463,3.11,2.27
aarch64,5330,3.12,2.41
aarch64,5279,3.13,2.31
aarch64,5045,3.13,2.35
x86_64,4436,3.12,2.26
aarch64,4349,3.10,2.39
x86_64,4185,3.12,2.27
x86_64,4156,3.9,2.37
aarch64,3964,3.8,2.36
x86_64,3813,3.10,2.33
x86_64,3745,3.10,2.37
aarch64,3641,3.8,2.28
x86_64,3588,3.12,2.17
x86_64,3355,3.11,2.37
x86_64,3004,3.8,2.23
aarch64,2981,3.10,2.28
aarch64,2813,3.11,2.38
x86_64,2764,3.10,2.38
aarch64,2702,3.12,2.28
aarch64,2661,3.11,2.26
x86_64,2632,3.9,2.33
x86_64,2322,3.9,2.40
x86_64,1986,3.9,2.24
aarch64,1879,3.12,2.40
x86_64,1764,3.13,2.17
aarch64,1510,3.13,2.28
aarch64,1459,3.10,2.41
x86_64,1360,3.8,2.24
x86_64,968,3.9,2.38
aarch64,912,3.8,2.35
x86_64,890,3.10,2.32
x86_64,770,3.8,2.41
x86_64,722,3.9,2.32
x86_64,719,3.8,2.32
x86_64,638,3.12,2.37
x86_64,635,3.13,2.38
x86_64,630,3.11,2.32
x86_64,579,3.9,2.23
aarch64,556,3.9,2.41
aarch64,553,3.12,2.38
x86_64,550,3.10,2.23
aarch64,550,3.9,2.17
x86_64,501,3.14,2.39
x86_64,492,3.13,2.27
aarch64,492,3.12,2.17
aarch64,468,3.12,2.26
aarch64,464,3.13,2.40
s390x,446,3.12,2.39
x86_64,380,3.8,2.40
aarch64,380,3.11,2.17
ppc64le,345,3.12,2.34
ppc64le,338,3.12,2.39
aarch64,335,3.10,2.17
aarch64,326,3.11,2.40
s390x,326,3.12,2.34
aarch64,311,3.10,2.40
x86_64,310,3.9,2.22
x86_64,272,3.12,2.32
armv7l,258,3.9,2.31
x86_64,254,3.8,2.38
aarch64,252,3.13,2.17
x86_64,247,3.11,2.22
aarch64,225,3.10,2.38
x86_64,221,3.11,2.23
aarch64,195,3.8,2.27
x86_64,193,3.14,2.36
aarch64,175,3.10,2.27
x86_64,169,3.13,2.26
x86_64,157,3.14,2.35
aarch64,150,3.9,2.38
x86_64,146,3.9,2.19
x86_64,145,3.11,2.24
s390x,143,3.12,2.28
x86_64,139,3.8,2.37
riscv64,136,3.12,2.35
x86_64,124,3.12,2.33
x86_64,120,3.12,2.23
x86_64,119,3.8,2.19
aarch64,117,3.11,2.37
aarch64,113,3.8,2.39
x86_64,111,3.14,2.31
x86_64,106,3.10,2.24
aarch64,102,3.9,2.27
x86_64,97,3.10,2.29
s390x,97,3.11,2.34
aarch64,85,3.8,2.34
ppc64le,84,3.11,2.34
x86_64,81,3.8,2.33
aarch64,76,3.14,2.39
ppc64le,74,3.12,2.28
x86_64,72,3.10,2.19
ppc64le,72,3.13,2.41
s390x,72,3.13,2.41
x86_64,71,3.8,2.22
aarch64,71,3.11,2.23
x86_64,64,3.11,2.33
aarch64,62,3.13,2.27
aarch64,55,3.11,2.27
x86_64,54,3.10,2.30
armv7l,49,3.11,2.36
aarch64,46,3.14,2.36
x86_64,45,3.12,2.29
aarch64,38,3.12,2.27
aarch64,33,3.13,2.38
aarch64,32,3.8,2.41
x86_64,29,3.13,2.24
x86_64,28,3.9,2.30
aarch64,26,3.10,2.32
x86_64,25,3.10,2.22
aarch64,25,3.9,2.33
aarch64,24,3.14,2.17
x86_64,24,3.13,2.37
x86_64,22,3.8,2.18
aarch64,20,3.12,2.37
x86_64,19,3.14,2.41
ppc64le,18,3.10,2.34
armv7l,18,3.10,2.31
x86_64,18,3.9,2.18
x86_64,16,3.10,2.18
x86_64,16,3.15,2.35
x86_64,16,3.14,2.17
armv7l,16,3.13,2.31
armv7l,16,3.8,2.28
x86_64,15,3.8,2.30
x86_64,15,3.9,2.29
x86_64,14,3.15,2.41
x86_64,13,3.8,2.5
riscv64,12,3.10,2.35
ppc64le,12,3.11,2.17
aarch64,12,3.10,2.37
armv7l,12,3.11,2.31
aarch64,12,3.13,2.24
armv7l,12,3.12,2.31
armv7l,11,3.12,2.36
x86_64,10,3.13,2.33
i686,10,3.8,2.5
x86_64,10,3.13,2.32
i686,10,3.9,2.12
x86_64,10,3.9,2.12
armv7l,9,3.12,2.39
x86_64,9,3.13,2.23
armv7l,9,3.11,2.28
aarch64,8,3.11,2.32
x86_64,8,3.12,2.22
ppc64le,8,3.9,2.31
