cpu,num_downloads,python_version,glibc_version
x86_64,6261753,3.10,2.35
x86_64,6109184,3.11,2.35
x86_64,5184192,3.12,2.39
x86_64,4396892,3.9,2.27
x86_64,3337110,3.11,2.36
x86_64,3294943,3.11,2.34
x86_64,2777056,3.11,2.39
aarch64,2488678,3.10,2.35
x86_64,2184938,3.12,2.36
x86_64,2182909,3.10,2.39
x86_64,2047105,3.9,2.31
aarch64,1834080,3.10,2.34
x86_64,1823741,3.10,2.36
x86_64,1657516,3.9,2.39
x86_64,1637125,3.10,2.31
x86_64,1370443,3.12,2.31
x86_64,1353810,3.8,2.31
x86_64,1310208,3.9,2.35
x86_64,1199781,3.12,2.35
x86_64,981888,3.10,2.26
x86_64,974879,3.9,2.36
x86_64,836629,3.11,2.31
x86_64,834293,3.13,2.39
x86_64,788569,3.9,2.34
aarch64,726656,3.9,2.34
x86_64,668232,3.13,2.36
aarch64,614523,3.11,2.36
x86_64,454032,3.9,2.26
x86_64,444291,3.12,2.34
x86_64,431792,3.8,2.39
aarch64,397658,3.11,2.35
x86_64,364844,3.13,2.35
x86_64,346266,3.9,2.28
aarch64,319111,3.9,2.36
aarch64,317949,3.9,2.35
x86_64,310219,3.13,2.31
x86_64,264709,3.11,2.28
aarch64,236483,3.11,2.34
aarch64,231791,3.12,2.39
x86_64,213217,3.10,2.28
aarch64,212248,3.12,2.36
aarch64,185856,3.10,2.36
x86_64,185775,3.8,2.26
aarch64,183789,3.9,2.31
x86_64,151970,3.8,2.28
x86_64,149445,3.8,2.36
x86_64,130805,3.11,2.41
aarch64,112445,3.12,2.31
x86_64,108350,3.13,2.41
x86_64,103790,3.10,2.34
x86_64,96681,3.12,2.40
x86_64,88590,3.8,2.35
x86_64,77336,3.11,2.26
aarch64,68099,3.13,2.36
x86_64,67856,3.11,2.40
x86_64,61731,3.8,2.27
x86_64,60969,3.12,2.28
x86_64,54584,3.9,2.17
x86_64,49498,3.10,2.27
aarch64,43176,3.12,2.35
x86_64,41918,3.13,2.34
aarch64,40309,3.11,2.31
x86_64,38570,3.12,2.41
aarch64,34961,3.12,2.34
aarch64,33287,3.8,2.31
aarch64,31541,3.11,2.39
x86_64,30317,3.10,2.17
x86_64,25036,3.12,2.38
x86_64,22054,3.10,2.41
aarch64,20205,3.10,2.31
x86_64,13811,3.11,2.38
x86_64,12682,3.13,2.28
aarch64,12450,3.10,2.26
x86_64,12269,3.13,2.40
aarch64,12065,3.13,2.39
x86_64,11391,3.11,2.19
x86_64,11239,3.9,2.41
aarch64,10837,3.9,2.26
x86_64,9650,3.11,2.17
aarch64,9336,3.13,2.34
x86_64,9169,3.10,2.40
x86_64,8353,3.8,2.34
aarch64,7593,3.8,2.26
aarch64,7561,3.11,2.28
x86_64,7452,3.8,2.17
aarch64,6907,3.9,2.28
aarch64,6361,3.13,2.41
x86_64,5960,3.10,2.38
aarch64,5670,3.13,2.31
aarch64,5196,3.11,2.41
x86_64,5093,3.9,2.33
x86_64,4896,3.12,2.27
aarch64,4822,3.9,2.39
aarch64,4803,3.8,2.28
aarch64,4653,3.13,2.35
aarch64,4519,3.12,2.41
aarch64,4415,3.10,2.39
aarch64,4211,3.12,2.28
x86_64,3918,3.12,2.17
x86_64,3893,3.11,2.27
x86_64,3830,3.9,2.37
x86_64,3824,3.12,2.26
x86_64,3528,3.11,2.37
x86_64,3428,3.10,2.37
aarch64,3109,3.10,2.28
x86_64,2934,3.8,2.23
aarch64,2750,3.12,2.38
aarch64,2693,3.11,2.38
aarch64,2257,3.10,2.38
x86_64,2139,3.9,2.40
aarch64,2030,3.12,2.40
aarch64,1767,3.8,2.36
aarch64,1642,3.11,2.26
x86_64,1550,3.9,2.24
aarch64,1256,3.13,2.28
x86_64,1162,3.9,2.38
x86_64,1068,3.8,2.41
x86_64,991,3.13,2.17
x86_64,967,3.10,2.33
x86_64,933,3.8,2.24
x86_64,925,3.9,2.23
aarch64,808,3.10,2.41
x86_64,784,3.11,2.22
aarch64,709,3.8,2.35
x86_64,683,3.13,2.38
aarch64,629,3.11,2.37
aarch64,552,3.9,2.17
aarch64,551,3.13,2.40
x86_64,544,3.10,2.32
aarch64,534,3.11,2.40
x86_64,533,3.8,2.32
x86_64,462,3.10,2.23
x86_64,457,3.9,2.32
aarch64,456,3.10,2.40
x86_64,441,3.13,2.27
x86_64,408,3.14,2.39
x86_64,404,3.9,2.22
aarch64,371,3.11,2.17
aarch64,343,3.12,2.17
aarch64,321,3.9,2.41
armv7l,315,3.9,2.31
aarch64,290,3.12,2.26
aarch64,289,3.8,2.27
aarch64,287,3.10,2.17
aarch64,267,3.13,2.17
aarch64,265,3.10,2.27
x86_64,254,3.8,2.40
s390x,253,3.12,2.39
ppc64le,242,3.12,2.39
x86_64,207,3.11,2.32
x86_64,201,3.8,2.37
aarch64,198,3.8,2.39
x86_64,196,3.8,2.38
aarch64,188,3.9,2.38
x86_64,187,3.9,2.19
x86_64,158,3.14,2.36
ppc64le,154,3.12,2.34
aarch64,128,3.9,2.27
s390x,122,3.12,2.34
x86_64,120,3.11,2.33
x86_64,116,3.12,2.37
x86_64,115,3.12,2.22
x86_64,115,3.11,2.24
aarch64,114,3.8,2.34
x86_64,109,3.13,2.26
armv7l,97,3.11,2.36
x86_64,89,3.12,2.30
x86_64,87,3.12,2.32
aarch64,83,3.14,2.36
x86_64,80,3.8,2.22
ppc64le,74,3.13,2.41
s390x,74,3.13,2.41
x86_64,67,3.11,2.23
x86_64,66,3.14,2.41
s390x,66,3.12,2.28
aarch64,65,3.11,2.23
x86_64,64,3.10,2.30
x86_64,63,3.13,2.32
x86_64,60,3.12,2.18
x86_64,57,3.12,2.23
x86_64,54,3.14,2.31
x86_64,52,3.8,2.33
aarch64,49,3.12,2.27
s390x,42,3.10,2.35
armv7l,41,3.8,2.28
x86_64,40,3.8,2.30
x86_64,34,3.8,2.29
x86_64,34,3.10,2.19
x86_64,33,3.14,2.35
x86_64,29,3.12,2.33
x86_64,28,3.10,2.24
aarch64,27,3.11,2.27
x86_64,25,3.12,2.12
x86_64,24,3.11,2.25
aarch64,22,3.10,2.32
aarch64,22,3.12,2.41-1
x86_64,22,3.12,2.19
armv7l,21,3.10,2.35
s390x,20,3.11,2.34
x86_64,20,3.15,2.35
aarch64,19,3.14,2.39
aarch64,19,3.9,2.33
x86_64,17,3.10,2.22
aarch64,17,3.10,2.37
x86_64,17,3.8,2.19
x86_64,16,3.12,2.29
x86_64,16,3.14,2.17
x86_64,16,3.10,2.29
x86_64,15,3.13,2.24
ppc64le,15,3.11,2.34
x86_64,15,3.9,2.29
ppc64le,14,3.10,2.34
x86_64,14,3.13,2.37
s390x,14,3.11,2.28
x86_64,13,3.14,2.40
ppc64le,12,3.11,2.28
aarch64,12,3.14,2.17
ppc64le,12,3.9,2.34
ppc64le,12,3.11,2.17
armv7l,10,3.12,2.23
armv7l,9,3.8,2.36
s390x,8,3.9,2.34
armv7l,8,3.9,2.36
x86_64,8,3.10,2.18
armv7l,8,3.11,2.31
aarch64,8,3.14,2.31
s390x,8,3.9,2.28
s390x,7,3.13,2.39
armv7l,6,3.13,2.36
aarch64,6,3.13,2.23
armv7l,6,3.12,2.39
x86_64,6,3.13,2.23
aarch64,6,3.8,2.17
x86_64,6,3.11,2.30
aarch64,5,3.9,2.40
s390x,4,3.10,2.39
x86_64,4,3.8,2.20-2014
s390x,4,3.13,2.36
armv7l,4,3.12,2.28
i686,4,3.11,2.36
ppc64le,4,3.8,2.34
x86_64,4,3.15,2.36
armv7l,4,3.10,2.31
armv7l,4,3.11,2.35
x86_64,4,3.11,2.29
armv7l,4,3.10,2.36
ppc64le,4,3.13,2.36
s390x,3,3.10,2.28
aarch64,3,3.14,2.41
s390x,3,3.11,2.39
x86_64,3,3.12,2.24
aarch64,2,3.13,2.38
aarch64,2,3.9,2.23
aarch64,2,3.12,2.23
ppc64le,2,3.13,2.34
armv7l,2,3.8,2.31
x86_64,2,3.13,2.18
x86_64,2,3.14,2.37
aarch64,2,3.12,2.37
armv7l,2,3.13,2.31
armv7l,2,3.13,2.28
x86_64,2,3.8,2.18
i686,2,3.11,2.38
armv7l,2,3.12,2.31
aarch64,2,3.13,2.24
x86_64,2,3.9,2.30
aarch64,2,3.8,2.30
armv7l,2,3.10,2.27
i686,2,3.9,2.31
armv8l,2,3.8,2.31
armv7l,2,3.13,2.41
i686,2,3.11,2.31
x86_64,2,3.13,2.22
armv8l,2,3.10,2.35
aarch64,2,3.8,2.24
aarch64,2,3.13,2.27
ppc64le,2,3.12,2.38
armv7l,2,3.11,2.28
s390x,2,3.10,2.34
x86_64,1,3.8,2.12
armv7l,1,3.8,2.30
x86_64,1,3.11,2.18
x86_64,1,3.13,2.33
aarch64,1,3.8,2.23
x86_64,1,3.15,2.39
armv8l,1,3.12,2.31
aarch64,1,3.8,2.19
i686,1,3.9,2.23
