cpu,num_downloads,python_version,glibc_version
x86_64,5979630,3.10,2.35
x86_64,5529449,3.11,2.35
x86_64,4176542,3.12,2.39
x86_64,3747987,3.11,2.36
x86_64,3419406,3.9,2.27
x86_64,2812693,3.11,2.34
x86_64,2806818,3.11,2.39
aarch64,2431214,3.10,2.35
x86_64,2049281,3.12,2.36
x86_64,1925946,3.9,2.31
x86_64,1881173,3.10,2.39
x86_64,1640989,3.10,2.36
x86_64,1621775,3.10,2.31
x86_64,1310225,3.9,2.39
x86_64,1250079,3.9,2.35
x86_64,1135252,3.8,2.31
x86_64,1008290,3.12,2.35
x86_64,981400,3.10,2.26
x86_64,937967,3.12,2.31
x86_64,936275,3.9,2.36
x86_64,867453,3.11,2.31
x86_64,843144,3.9,2.34
x86_64,831069,3.13,2.39
aarch64,829967,3.9,2.34
x86_64,674607,3.13,2.36
aarch64,589947,3.11,2.36
x86_64,446084,3.12,2.34
x86_64,427809,3.9,2.26
x86_64,372421,3.9,2.28
aarch64,357570,3.11,2.35
x86_64,334116,3.8,2.39
x86_64,332177,3.13,2.31
aarch64,310358,3.9,2.35
aarch64,303895,3.9,2.36
x86_64,302101,3.13,2.35
aarch64,275275,3.10,2.34
aarch64,211004,3.12,2.36
x86_64,205224,3.11,2.28
x86_64,191612,3.10,2.28
aarch64,164118,3.12,2.39
x86_64,149193,3.8,2.28
x86_64,144277,3.8,2.26
x86_64,142911,3.8,2.36
aarch64,140512,3.10,2.36
aarch64,126739,3.9,2.31
x86_64,120850,3.12,2.28
x86_64,116102,3.8,2.35
x86_64,113993,3.13,2.41
x86_64,98360,3.12,2.40
x86_64,93437,3.11,2.41
x86_64,91389,3.10,2.34
x86_64,85371,3.11,2.26
x86_64,79192,3.11,2.40
x86_64,63010,3.8,2.27
aarch64,61953,3.13,2.36
x86_64,55062,3.9,2.17
aarch64,53643,3.11,2.34
x86_64,41387,3.13,2.34
x86_64,39436,3.12,2.41
aarch64,38939,3.11,2.31
aarch64,32433,3.12,2.34
aarch64,29408,3.8,2.31
aarch64,29091,3.11,2.39
aarch64,28105,3.12,2.35
x86_64,25670,3.10,2.17
aarch64,24931,3.12,2.31
x86_64,22763,3.10,2.41
x86_64,22751,3.12,2.38
aarch64,19865,3.10,2.31
x86_64,16594,3.10,2.27
x86_64,15446,3.11,2.38
aarch64,13885,3.13,2.34
x86_64,13538,3.13,2.40
aarch64,12217,3.13,2.39
x86_64,12168,3.13,2.28
aarch64,11009,3.10,2.26
aarch64,10177,3.9,2.26
x86_64,9731,3.11,2.19
x86_64,9679,3.9,2.41
aarch64,9552,3.11,2.28
x86_64,8663,3.10,2.40
aarch64,8134,3.13,2.41
x86_64,7981,3.8,2.34
x86_64,7797,3.8,2.17
aarch64,6812,3.12,2.41
aarch64,6336,3.11,2.41
aarch64,6172,3.8,2.26
aarch64,5181,3.9,2.39
aarch64,5153,3.9,2.28
x86_64,5107,3.11,2.17
aarch64,5057,3.13,2.31
x86_64,4851,3.12,2.26
x86_64,4053,3.12,2.27
aarch64,4010,3.13,2.35
aarch64,4005,3.10,2.39
aarch64,3929,3.8,2.28
x86_64,3768,3.11,2.27
x86_64,3627,3.12,2.17
x86_64,3571,3.10,2.37
aarch64,3548,3.11,2.26
x86_64,3515,3.10,2.38
aarch64,3438,3.10,2.28
aarch64,3350,3.12,2.28
aarch64,2954,3.11,2.38
x86_64,2835,3.8,2.23
x86_64,2671,3.11,2.37
x86_64,2551,3.9,2.37
x86_64,2461,3.9,2.40
x86_64,1892,3.9,2.33
aarch64,1528,3.8,2.36
aarch64,1493,3.12,2.38
aarch64,1481,3.13,2.28
aarch64,1353,3.12,2.40
x86_64,1321,3.8,2.24
x86_64,1300,3.8,2.32
x86_64,1083,3.9,2.38
x86_64,1037,3.13,2.17
x86_64,975,3.9,2.22
aarch64,950,3.8,2.35
x86_64,880,3.8,2.41
x86_64,797,3.10,2.32
aarch64,765,3.10,2.38
x86_64,699,3.9,2.23
x86_64,684,3.10,2.33
x86_64,662,3.11,2.32
x86_64,643,3.9,2.24
x86_64,575,3.14,2.39
x86_64,551,3.12,2.37
x86_64,503,3.9,2.32
x86_64,488,3.13,2.38
aarch64,427,3.9,2.17
aarch64,402,3.10,2.41
x86_64,349,3.13,2.26
x86_64,304,3.10,2.23
armv7l,289,3.9,2.31
aarch64,281,3.13,2.40
x86_64,276,3.8,2.40
aarch64,261,3.12,2.17
aarch64,256,3.12,2.26
aarch64,248,3.10,2.40
x86_64,247,3.8,2.37
x86_64,241,3.8,2.38
aarch64,234,3.11,2.37
aarch64,223,3.11,2.17
x86_64,205,3.11,2.23
aarch64,201,3.9,2.27
aarch64,192,3.11,2.23
x86_64,184,3.12,2.32
