cpu,num_downloads,python_version,pip_version,glibc_version
x86_64,2612897,3.8,21.0,2.31
x86_64,2417279,3.10,23.3,2.35
x86_64,1410612,3.8,23.3,2.31
x86_64,1169929,3.9,21.2,2.31
x86_64,1068162,3.7,23.3,2.26
x86_64,1002121,3.9,23.3,2.31
x86_64,958647,3.6,19.2,2.27
x86_64,871763,3.7,20.2,2.26
x86_64,795669,3.6,21.0,2.27
x86_64,709162,3.11,23.3,2.35
x86_64,605341,3.7,23.0,2.26
x86_64,597463,3.9,23.3,2.35
x86_64,593388,3.10,23.3,2.31
x86_64,546663,3.8,23.3,2.35
x86_64,437673,3.8,23.3,2.28
x86_64,375232,3.10,22.2,2.35
x86_64,356958,3.10,22.0,2.35
x86_64,355565,3.11,23.3,2.31
x86_64,348166,3.7,9.0,2.27
x86_64,316304,3.10,23.0,2.26
x86_64,293855,3.11,23.2,2.36
x86_64,291590,3.6,20.1,2.28
x86_64,267628,3.8,20.0,2.31
x86_64,259891,3.10,23.1,2.35
x86_64,252228,3.11,23.3,2.36
x86_64,248307,3.6,9.0,2.17
x86_64,238004,3.9,23.0,2.36
x86_64,229918,2.7,9.0,2.27
x86_64,225245,3.7,20.2,2.28
aarch64,224893,3.7,23.3,2.26
x86_64,222062,3.10,23.0,2.36
x86_64,218688,3.10,23.3,2.36
x86_64,212169,3.9,23.2,2.31
x86_64,209572,3.7,9.0,2.26
x86_64,201718,3.6,21.3,2.17
x86_64,177340,3.7,20.0,2.27
x86_64,172893,3.8,22.0,2.31
x86_64,172311,3.6,20.3,2.17
x86_64,171910,3.9,23.3,2.28
x86_64,169256,3.8,23.3,2.27
x86_64,168330,3.9,23.3,2.36
x86_64,168326,3.10,23.0,2.31
x86_64,161444,3.9,22.1,2.26
x86_64,160122,3.7,21.3,2.26
x86_64,159970,3.9,22.3,2.35
x86_64,159481,3.8,23.0,2.36
x86_64,156035,3.11,23.2,2.31
x86_64,144189,3.7,23.3,2.28
x86_64,140217,3.7,21.3,2.28
x86_64,140038,3.8,21.2,2.31
x86_64,136403,3.12,23.2,2.36
x86_64,134556,3.8,23.0,2.31
x86_64,127796,3.8,21.0,2.26
x86_64,126112,2.7,9.0,2.17
x86_64,124241,3.8,23.3,2.36
x86_64,122342,3.9,22.2,2.31
x86_64,120836,2.7,9.0,2.26
x86_64,119909,3.12,23.3,2.35
x86_64,115932,3.10,23.2,2.35
x86_64,103757,3.6,21.3,2.28
x86_64,101247,3.9,22.0,2.31
x86_64,101173,3.6,21.3,2.27
x86_64,99953,3.7,21.0,2.28
x86_64,97895,3.11,23.3,2.28
x86_64,97656,3.5,20.3,2.23
x86_64,96473,3.8,23.0,2.26
aarch64,93730,3.7,20.2,2.26
x86_64,92659,3.7,23.3,2.27
x86_64,89248,3.10,22.3,2.35
x86_64,88987,3.8,21.3,2.28
x86_64,86365,3.10,23.2,2.31
x86_64,83447,3.9,23.0,2.31
x86_64,80708,3.8,23.1,2.31
x86_64,73128,3.7,22.3,2.31
x86_64,72353,3.7,23.3,2.31
x86_64,71853,3.8,22.2,2.31
x86_64,70666,3.9,20.3,2.31
x86_64,69847,3.8,20.2,2.31
x86_64,69232,3.10,23.0,2.28
x86_64,68586,3.10,23.3,2.28
x86_64,67804,3.8,22.3,2.31
x86_64,67416,3.9,22.0,2.27
x86_64,65961,3.8,21.3,2.31
x86_64,65745,3.7,23.3,2.35
x86_64,65552,3.9,23.0,2.28
x86_64,63558,3.7,23.0,2.36
x86_64,62556,3.9,23.1,2.31
x86_64,57724,3.8,23.3,2.26
x86_64,55678,3.10,22.3,2.26
x86_64,55416,3.7,22.0,2.28
x86_64,55052,3.11,23.2,2.35
x86_64,54198,3.6,21.2,2.31
x86_64,53251,3.8,23.2,2.31
x86_64,51361,3.11,23.1,2.31
x86_64,50929,3.11,23.3,2.34
x86_64,50178,3.7,19.3,2.28
x86_64,49716,3.8,22.3,2.28
x86_64,48796,3.7,21.3,2.31
x86_64,48679,3.9,21.0,2.28
x86_64,48571,3.8,23.0,2.28
x86_64,48341,3.8,21.2,2.28
x86_64,47483,3.8,21.1,2.31
x86_64,47146,3.12,23.3,2.36
x86_64,46579,3.10,22.3,2.31
aarch64,46482,3.7,23.3,2.28
x86_64,46316,3.8,22.1,2.31
x86_64,46103,3.7,20.1,2.28
x86_64,45652,3.10,23.0,2.35
x86_64,44431,3.10,23.1,2.31
aarch64,44336,3.8,21.0,2.31
x86_64,43079,3.7,22.0,2.31
x86_64,42760,3.12,23.3,2.31
aarch64,42736,3.9,21.2,2.31
x86_64,42717,3.9,22.2,2.35
aarch64,42324,3.10,22.2,2.35
x86_64,39774,3.6,20.2,2.28
x86_64,39381,3.8,20.2,2.28
x86_64,38693,3.9,23.3,2.27
x86_64,38349,3.9,21.1,2.28
x86_64,38177,3.8,22.0,2.26
x86_64,37843,3.7,22.0,2.26
x86_64,37221,3.10,23.2,2.36
x86_64,36638,3.8,20.3,2.31
x86_64,36629,3.9,23.3,2.34
x86_64,35158,3.11,23.3,2.37
x86_64,34397,3.11,22.3,2.31
x86_64,33998,3.9,23.2,2.28
x86_64,32798,3.7,21.1,2.26
x86_64,32556,3.8,21.1,2.28
x86_64,32188,3.7,23.3,2.36
x86_64,31893,3.8,22.0,2.28
x86_64,31359,3.7,21.2,2.28
x86_64,31056,3.7,20.0,2.26
x86_64,30471,3.6,21.3,2.31
x86_64,30303,3.9,22.3,2.31
x86_64,30185,3.6,9.0,2.27
x86_64,29884,3.9,23.0,2.35
x86_64,29863,3.7,22.1,2.17
x86_64,29725,2.7,20.3,2.27
x86_64,29697,3.10,22.2,2.31
x86_64,29472,3.9,23.3,2.26
x86_64,28995,3.10,23.3,2.26
x86_64,28731,2.7,20.3,2.28
x86_64,28624,3.9,21.3,2.34
x86_64,28491,3.7,21.2,2.27
x86_64,28277,3.8,20.1,2.28
x86_64,27788,3.8,21.0,2.28
x86_64,27271,2.7,20.3,2.17
x86_64,27191,2.7,20.3,2.31
x86_64,27180,3.7,23.3,2.17
x86_64,26036,3.10,22.0,2.31
x86_64,25655,3.10,23.2,2.26
aarch64,25587,3.9,23.3,2.31
x86_64,25026,3.9,23.2,2.35
x86_64,24970,3.8,20.2,2.27
x86_64,24576,3.7,20.2,2.27
x86_64,24556,3.9,23.2,2.27
x86_64,24071,3.11,23.0,2.36
x86_64,23715,3.6,20.2,2.27
x86_64,23175,3.11,23.3,2.38
x86_64,23083,3.11,23.1,2.35
x86_64,21744,3.7,21.2,2.31
x86_64,21659,3.7,22.3,2.28
aarch64,21422,3.10,23.3,2.35
x86_64,21281,2.7,20.3,2.35
x86_64,20514,3.6,21.2,2.28
x86_64,20423,3.8,23.2,2.35
x86_64,19867,3.9,22.1,2.31
x86_64,19698,3.7,23.2,2.31
x86_64,19404,3.11,23.2,2.38
x86_64,19308,3.6,21.1,2.27
x86_64,19107,3.7,23.0,2.31
x86_64,18784,3.9,20.3,2.28
aarch64,18734,3.8,23.3,2.31
x86_64,18572,3.9,21.3,2.31
x86_64,18244,2.7,9.0,2.24
aarch64,18186,3.11,23.2,2.36
x86_64,17554,3.7,20.1,2.27
x86_64,17317,3.11,22.3,2.28
aarch64,16809,3.9,23.3,2.34
aarch64,16752,3.8,22.3,2.17
x86_64,16532,3.7,23.2,2.26
x86_64,16475,3.8,23.3,2.17
x86_64,16399,2.7,20.2,2.26
x86_64,16352,3.9,21.2,2.28
x86_64,16285,3.11,23.1,2.36
aarch64,16246,3.11,23.3,2.36
x86_64,16136,3.8,20.3,2.28
x86_64,15846,3.11,23.1,2.28
x86_64,15718,3.9,23.3,2.17
x86_64,15619,3.8,22.2,2.28
x86_64,15525,3.6,21.3,2.24
x86_64,15481,3.7,19.0,2.23
x86_64,15294,3.8,21.1,2.26
x86_64,14985,3.7,22.3,2.27
x86_64,14953,3.7,23.0,2.28
x86_64,14745,3.11,22.3,2.34
x86_64,14738,3.8,22.1,2.28
x86_64,14516,3.7,21.3,2.17
x86_64,14476,3.8,23.1,2.35
x86_64,14427,3.6,20.2,2.17
x86_64,14363,3.10,22.3,2.36
x86_64,14327,2.7,20.0,2.28
x86_64,14248,3.8,23.0,2.35
x86_64,13719,3.10,23.3,2.27
x86_64,13676,3.7,21.0,2.27
x86_64,13535,3.7,18.1,2.28
x86_64,13369,3.9,22.1,2.36
x86_64,13277,3.6,19.3,2.17
x86_64,13048,3.9,21.2,2.34
x86_64,12994,3.10,21.2,2.31
x86_64,12930,3.7,21.1,2.28
x86_64,12631,3.9,22.3,2.17
x86_64,12510,3.7,22.2,2.27
x86_64,12423,3.7,20.1,2.26
x86_64,12212,3.7,20.1,2.23
x86_64,11972,3.7,21.1,2.27
x86_64,11968,3.8,23.1,2.28
x86_64,11937,3.9,20.2,2.31
x86_64,11463,3.8,22.0,2.27
x86_64,11438,3.6,18.1,2.31
x86_64,11424,3.7,20.0,2.31
x86_64,11371,3.8,22.2,2.17
x86_64,11257,3.12,23.2,2.31
x86_64,11185,3.6,9.0,2.28
x86_64,11128,3.7,23.3,2.24
x86_64,10991,3.8,23.2,2.28
x86_64,10970,2.7,19.3,2.17
x86_64,10958,3.7,21.2,2.26
x86_64,10743,3.9,23.1,2.28
x86_64,10706,3.7,20.3,2.27
x86_64,10628,3.7,19.3,2.27
x86_64,10223,3.7,19.2,2.24
x86_64,10018,3.7,23.0,2.27
x86_64,9939,3.9,22.0,2.26
x86_64,9936,2.7,20.3,2.19
x86_64,9861,3.6,21.3,2.23
x86_64,9837,3.8,23.0,2.17
x86_64,9830,3.9,23.0,2.26
