cpu,num_downloads,python_version,pip_version,glibc_version
x86_64,2482273,3.8,21.0,2.31
x86_64,1335580,3.9,23.2,2.31
x86_64,1038278,3.9,21.2,2.31
x86_64,855388,3.7,20.2,2.26
x86_64,756291,3.7,23.2,2.26
x86_64,645965,3.8,23.2,2.31
x86_64,459141,3.10,23.2,2.35
x86_64,458567,3.7,23.0,2.26
x86_64,458106,3.6,20.1,2.28
x86_64,269202,3.6,21.3,2.17
x86_64,243470,3.7,20.0,2.27
x86_64,243178,3.8,23.2,2.35
x86_64,224833,3.10,23.2,2.31
x86_64,202058,3.7,20.2,2.28
x86_64,201759,3.10,23.1,2.35
x86_64,176201,3.7,23.2,2.28
x86_64,168775,3.9,23.2,2.35
x86_64,164888,3.7,9.0,2.27
x86_64,151990,3.6,9.0,2.17
x86_64,148051,3.11,23.2,2.35
x86_64,136933,3.9,22.1,2.26
x86_64,136685,3.7,9.0,2.26
x86_64,131316,3.8,23.2,2.28
x86_64,131121,2.7,9.0,2.17
x86_64,127731,3.8,22.0,2.31
x86_64,125107,3.8,20.0,2.31
x86_64,122105,3.7,21.3,2.28
x86_64,118336,3.8,23.0,2.31
x86_64,114345,3.11,23.2,2.36
x86_64,113567,3.10,23.0,2.26
x86_64,108135,3.9,23.2,2.28
x86_64,106046,3.8,23.2,2.27
x86_64,103523,3.7,21.0,2.28
x86_64,101586,3.10,22.0,2.35
x86_64,101228,3.11,23.2,2.31
x86_64,98681,3.8,22.2,2.31
aarch64,94884,3.7,23.2,2.28
x86_64,92203,3.7,21.3,2.26
x86_64,90062,3.9,22.0,2.27
x86_64,89443,3.10,23.0,2.31
x86_64,86875,3.7,23.2,2.27
x86_64,86476,3.9,23.0,2.31
x86_64,86296,2.7,9.0,2.27
x86_64,82676,3.8,22.1,2.31
x86_64,82618,3.9,23.0,2.36
x86_64,82536,3.8,21.3,2.28
x86_64,81982,3.7,21.3,2.31
x86_64,77868,3.10,22.2,2.35
x86_64,77409,3.8,22.3,2.31
x86_64,77274,3.9,20.3,2.31
x86_64,75974,3.8,23.0,2.26
x86_64,72938,3.6,20.2,2.28
x86_64,71297,3.6,20.3,2.17
x86_64,64012,3.8,21.0,2.26
x86_64,60680,3.5,20.3,2.23
x86_64,59724,3.8,21.2,2.31
x86_64,59182,3.7,22.3,2.31
x86_64,58955,3.8,21.2,2.28
x86_64,58845,3.9,22.2,2.31
