cpu,num_downloads,python_version,pip_version,glibc_version
x86_64,3540973,3.8,21.0,2.31
x86_64,1591920,3.7,20.0,2.27
x86_64,1043260,3.7,20.2,2.26
x86_64,989182,3.7,22.1,2.26
x86_64,826481,3.6,21.3,2.17
x86_64,794392,3.8,22.1,2.31
x86_64,729611,3.8,22.0,2.31
x86_64,680244,3.6,20.1,2.28
x86_64,490014,3.7,22.0,2.31
x86_64,487903,3.7,22.1,2.27
x86_64,445537,3.9,22.1,2.31
x86_64,433804,3.6,9.0,2.17
x86_64,368683,3.9,22.0,2.31
x86_64,358801,3.6,21.3,2.27
x86_64,346854,3.7,22.1,2.31
x86_64,334671,3.9,22.1,2.28
x86_64,332283,2.7,9.0,2.17
x86_64,321207,3.7,20.2,2.28
x86_64,312873,3.7,22.1,2.28
x86_64,301672,3.7,21.2,2.27
x86_64,290695,3.9,22.0,2.34
x86_64,268131,3.7,21.3,2.26
x86_64,263230,3.7,9.0,2.26
x86_64,259051,3.8,20.0,2.31
x86_64,222437,3.6,21.0,2.27
x86_64,221405,3.6,21.3,2.31
x86_64,209744,3.8,20.2,2.27
x86_64,199209,3.7,21.1,2.27
x86_64,196898,3.8,22.1,2.27
x86_64,188007,3.7,21.2,2.28
x86_64,179019,3.8,22.1,2.28
x86_64,173779,3.8,21.2,2.31
x86_64,169642,3.8,22.0,2.27
x86_64,155250,3.8,21.2,2.27
x86_64,153885,3.6,20.3,2.17
x86_64,147199,3.7,22.0,2.27
x86_64,145827,3.8,21.3,2.28
x86_64,142740,3.7,20.2,2.27
x86_64,139863,3.6,9.0,2.27
x86_64,132486,3.6,21.0,2.28
x86_64,131240,3.7,21.3,2.27
x86_64,131045,3.7,20.1,2.27
x86_64,128189,3.8,21.3,2.26
x86_64,126057,3.8,21.3,2.31
x86_64,115359,2.7,20.3,2.27
x86_64,114087,3.10,22.1,2.31
x86_64,113189,3.7,19.2,2.28
x86_64,108256,3.7,21.1,2.26
x86_64,101446,3.8,22.0,2.28
x86_64,100253,2.7,20.2,2.26
x86_64,99958,3.7,21.3,2.28
x86_64,97580,3.6,20.2,2.28
x86_64,94865,3.7,21.1,2.28
x86_64,94812,3.6,21.3,2.28
x86_64,93829,3.7,19.0,2.23
x86_64,93513,3.7,20.3,2.28
x86_64,91509,3.7,21.3,2.31
x86_64,89994,3.6,19.2,2.27
x86_64,87766,3.7,22.0,2.28
x86_64,83508,3.9,21.2,2.31
x86_64,79091,2.7,9.0,2.27
x86_64,78579,3.7,21.0,2.28
x86_64,71875,3.7,20.0,2.28
x86_64,70800,3.7,20.1,2.28
x86_64,69888,3.10,22.0,2.31
x86_64,68037,3.8,20.2,2.28
x86_64,67350,3.8,21.1,2.31
x86_64,66393,3.7,21.2,2.31
x86_64,64597,3.6,21.2,2.31
x86_64,63173,3.7,19.0,2.27
x86_64,60454,2.7,20.3,2.17
x86_64,59646,3.6,20.2,2.27
x86_64,59185,3.8,20.1,2.26
x86_64,58632,3.5,20.3,2.23
x86_64,58568,3.9,21.3,2.31
x86_64,56951,3.8,21.0,2.28
x86_64,56233,2.7,20.3,2.23
x86_64,56178,3.5,9.0,2.19
x86_64,55284,3.7,19.3,2.28
x86_64,54516,3.8,21.2,2.28
x86_64,50184,3.8,22.1,2.26
x86_64,49642,3.7,20.1,2.23
x86_64,49235,3.6,21.2,2.28
x86_64,49207,3.6,21.2,2.27
x86_64,48411,3.7,22.1,2.17
x86_64,47142,3.8,21.3,2.27
x86_64,47100,3.7,20.1,2.26
x86_64,47084,2.7,20.0,2.17
x86_64,46004,3.9,22.0,2.28
x86_64,44640,3.7,21.1,2.31
x86_64,44516,2.7,9.0,2.26
x86_64,44500,3.7,18.1,2.24
x86_64,44405,3.7,18.1,2.28
