cpu,num_downloads,python_version,pip_version,glibc_version
aarch64,2842509,3.10,25.1,2.34
x86_64,2753964,3.9,25.0,2.27
x86_64,2554871,3.11,24.1,2.35
x86_64,1960689,3.10,25.1,2.35
aarch64,1956686,3.10,22.2,2.35
x86_64,1377338,3.11,23.2,2.35
x86_64,1215972,3.11,24.0,2.36
x86_64,1205738,3.12,25.1,2.39
x86_64,1071666,3.11,25.0,2.34
x86_64,1049668,3.10,25.1,2.39
x86_64,1002153,3.9,25.1,2.31
x86_64,999053,3.10,22.3,2.35
aarch64,995947,3.9,21.3,2.34
x86_64,959981,3.11,25.1,2.39
x86_64,886151,3.10,22.2,2.35
x86_64,823146,3.11,25.1,2.36
x86_64,766753,3.11,25.1,2.34
x86_64,634371,3.9,25.1,2.39
x86_64,630394,3.12,24.0,2.39
x86_64,626434,3.11,25.1,2.35
x86_64,568404,3.10,23.0,2.36
x86_64,551097,3.8,21.0,2.31
x86_64,541675,3.10,23.0,2.26
x86_64,540530,3.10,25.1,2.31
x86_64,510945,3.10,25.0,2.31
x86_64,509716,3.10,22.0,2.35
x86_64,482105,3.12,25.1,2.31
x86_64,481518,3.12,25.0,2.36
x86_64,464673,3.11,24.0,2.39
x86_64,459760,3.9,21.3,2.34
x86_64,437322,3.10,25.1,2.36
x86_64,339534,3.12,25.1,2.36
x86_64,331413,3.10,25.0,2.35
x86_64,330614,3.9,21.2,2.31
x86_64,326096,3.13,25.1,2.39
x86_64,311512,3.9,23.0,2.36
x86_64,299527,3.11,23.0,2.36
aarch64,297708,3.11,23.2,2.35
x86_64,286250,3.8,25.0,2.31
x86_64,279923,3.12,25.1,2.35
x86_64,269906,3.11,24.0,2.35
x86_64,266353,3.10,25.1,2.26
x86_64,252519,3.9,25.1,2.34
x86_64,250531,3.9,25.1,2.36
x86_64,235361,3.13,25.0,2.36
x86_64,227153,3.12,25.0,2.35
x86_64,226371,3.9,24.0,2.31
x86_64,224258,3.11,25.1,2.31
x86_64,221216,3.9,25.1,2.35
x86_64,212848,3.12,25.0,2.39
x86_64,209943,3.11,25.0,2.36
x86_64,201981,3.10,24.0,2.35
x86_64,197327,3.11,23.3,2.36
x86_64,194032,3.7,23.0,2.26
x86_64,190452,3.12,24.3,2.34
x86_64,186827,3.10,24.2,2.35
x86_64,185293,3.10,25.1,2.34
x86_64,184097,3.7,24.0,2.26
x86_64,180664,3.8,25.0,2.39
x86_64,171130,3.11,24.0,2.31
x86_64,168242,3.10,24.3,2.35
x86_64,161733,3.10,23.0,2.31
x86_64,159579,3.11,24.2,2.28
x86_64,156250,3.9,22.1,2.26
x86_64,155056,3.11,25.0,2.35
x86_64,150864,3.11,25.0,2.31
x86_64,146214,3.11,23.3,2.35
x86_64,143628,3.11,24.3,2.34
x86_64,136734,3.11,24.0,2.34
aarch64,132003,3.10,25.1,2.36
x86_64,130805,3.12,24.3,2.36
x86_64,118892,3.10,23.3,2.31
x86_64,114730,3.11,24.3,2.35
x86_64,111343,3.9,25.1,2.28
x86_64,109532,3.7,20.2,2.26
x86_64,102932,3.9,25.1,2.26
x86_64,102177,3.10,23.2,2.36
x86_64,101270,3.9,23.2,2.31
x86_64,98301,3.11,24.2,2.35
x86_64,95134,3.12,25.0,2.31
x86_64,94808,3.9,21.1,2.28
x86_64,94567,3.13,25.1,2.36
x86_64,93807,3.11,22.3,2.34
x86_64,93714,3.10,25.0,2.36
x86_64,92774,3.12,24.0,2.36
aarch64,92658,3.9,21.2,2.31
x86_64,90829,3.9,23.3,2.26
aarch64,89091,3.10,22.3,2.35
aarch64,87102,3.11,24.0,2.36
x86_64,85514,3.10,24.0,2.31
x86_64,85075,3.13,25.1,2.35
x86_64,84473,3.10,25.1,2.28
x86_64,83841,3.7,22.3,2.31
x86_64,81839,3.11,23.2,2.36
x86_64,81264,3.12,24.3,2.35
x86_64,76897,3.10,23.3,2.35
x86_64,76829,3.12,24.3,2.39
x86_64,76069,3.7,9.0,2.31
aarch64,74608,3.12,24.0,2.39
x86_64,73747,3.12,24.2,2.36
x86_64,70000,3.10,24.1,2.35
x86_64,67427,3.8,24.0,2.31
aarch64,67162,3.10,25.1,2.35
x86_64,66904,3.11,25.1,2.28
x86_64,65963,3.9,25.1,2.27
x86_64,65384,3.8,25.0,2.36
x86_64,64875,3.8,20.0,2.31
x86_64,63078,3.12,25.1,2.34
x86_64,62133,3.10,23.3,2.36
x86_64,62130,3.11,23.0,2.34
x86_64,61155,3.11,24.2,2.34
x86_64,61131,3.10,23.0,2.35
x86_64,60017,3.8,23.1,2.31
x86_64,58806,3.9,23.0,2.28
x86_64,58622,3.9,23.0,2.31
x86_64,58400,3.9,24.3,2.31
x86_64,58383,3.12,24.2,2.35
x86_64,57512,3.8,23.0,2.36
x86_64,56851,3.9,20.2,2.26
x86_64,55796,3.10,25.0,2.26
aarch64,54944,3.11,25.1,2.36
x86_64,54097,3.12,24.2,2.40
x86_64,53802,3.13,25.0,2.41
x86_64,53258,3.8,23.3,2.31
x86_64,50884,3.13,25.0,2.35
x86_64,50242,3.8,25.0,2.26
aarch64,49928,3.12,25.0,2.36
x86_64,49612,3.9,20.3,2.31
aarch64,49317,3.12,25.1,2.31
x86_64,46790,3.13,24.3,2.36
x86_64,46000,3.12,24.2,2.39
x86_64,45388,3.11,24.0,2.41
x86_64,44831,3.8,25.0,2.35
x86_64,44723,3.10,24.3,2.36
x86_64,44653,3.9,25.0,2.31
x86_64,44386,3.8,25.0,2.28
x86_64,44061,3.11,25.0,2.39
x86_64,43819,3.10,23.2,2.35
x86_64,41520,3.12,24.0,2.35
x86_64,40612,3.11,23.2,2.34
x86_64,40036,3.9,21.1,2.34
x86_64,39910,3.11,23.2,2.31
x86_64,39803,3.9,25.1,2.17
x86_64,39661,3.10,24.0,2.28
x86_64,39439,3.11,24.3,2.36
x86_64,39405,3.9,22.0,2.35
x86_64,38379,3.9,22.0,2.31
x86_64,37078,3.13,25.1,2.41
x86_64,36811,3.7,24.0,2.27
x86_64,36366,3.8,21.0,2.26
x86_64,35889,3.11,23.3,2.28
x86_64,35619,3.7,21.0,2.28
