cpu,num_downloads,python_version,glibc_version
x86_64,4011068,3.10,2.35
x86_64,3900413,3.11,2.35
aarch64,2914208,3.10,2.35
x86_64,2565358,3.9,2.27
x86_64,2246405,3.11,2.34
x86_64,1702830,3.11,2.36
x86_64,1535776,3.12,2.39
x86_64,1289194,3.9,2.31
x86_64,1206132,3.10,2.36
x86_64,1203794,3.11,2.39
x86_64,1192210,3.10,2.31
x86_64,936052,3.10,2.39
x86_64,924952,3.12,2.36
x86_64,876131,3.8,2.31
aarch64,867360,3.9,2.34
x86_64,812052,3.10,2.26
x86_64,810478,3.9,2.36
x86_64,776058,3.9,2.35
x86_64,576372,3.9,2.39
x86_64,450397,3.11,2.31
x86_64,440758,3.9,2.34
x86_64,429297,3.12,2.31
x86_64,388068,3.9,2.26
x86_64,350495,3.12,2.35
x86_64,320799,3.13,2.39
aarch64,278525,3.11,2.35
x86_64,226468,3.13,2.36
x86_64,215077,3.12,2.34
aarch64,213992,3.9,2.35
x86_64,193804,3.9,2.28
aarch64,190275,3.9,2.36
x86_64,179171,3.8,2.39
aarch64,136197,3.11,2.36
x86_64,128762,3.13,2.31
aarch64,103562,3.10,2.36
x86_64,102490,3.8,2.26
aarch64,102252,3.9,2.31
x86_64,95220,3.10,2.28
aarch64,86643,3.12,2.36
aarch64,85742,3.12,2.39
x86_64,83662,3.8,2.28
x86_64,80893,3.8,2.36
x86_64,80451,3.13,2.35
x86_64,73058,3.11,2.28
x86_64,64062,3.12,2.40
x86_64,57399,3.13,2.41
x86_64,49606,3.11,2.26
x86_64,47599,3.9,2.17
x86_64,41468,3.8,2.35
x86_64,39818,3.10,2.34
aarch64,38265,3.11,2.34
x86_64,36487,3.11,2.41
x86_64,36351,3.8,2.27
x86_64,31795,3.11,2.40
x86_64,24150,3.10,2.17
aarch64,18556,3.13,2.36
aarch64,18118,3.11,2.31
aarch64,18004,3.10,2.34
x86_64,17336,3.12,2.28
x86_64,16866,3.12,2.41
aarch64,15968,3.8,2.31
aarch64,15233,3.12,2.31
aarch64,13851,3.11,2.39
x86_64,11517,3.12,2.38
x86_64,10923,3.10,2.41
x86_64,10405,3.13,2.40
x86_64,8104,3.13,2.34
aarch64,7900,3.9,2.26
x86_64,7017,3.10,2.27
aarch64,6781,3.10,2.31
x86_64,6577,3.10,2.40
aarch64,6509,3.12,2.35
aarch64,5748,3.10,2.26
x86_64,5645,3.8,2.17
aarch64,5399,3.12,2.34
aarch64,5355,3.8,2.26
aarch64,5243,3.13,2.39
x86_64,3939,3.11,2.38
aarch64,3291,3.13,2.41
x86_64,3151,3.9,2.41
aarch64,3110,3.11,2.41
x86_64,2854,3.9,2.40
aarch64,2658,3.9,2.39
x86_64,2634,3.13,2.28
x86_64,2326,3.9,2.37
x86_64,2316,3.11,2.27
aarch64,2279,3.13,2.34
aarch64,2257,3.13,2.35
x86_64,2163,3.8,2.34
x86_64,2160,3.11,2.17
x86_64,2113,3.12,2.26
aarch64,2047,3.11,2.28
aarch64,1861,3.10,2.39
aarch64,1765,3.9,2.28
aarch64,1661,3.12,2.41
x86_64,1551,3.10,2.37
aarch64,1436,3.13,2.31
x86_64,1391,3.8,2.23
x86_64,1258,3.11,2.37
aarch64,1180,3.10,2.28
x86_64,1069,3.8,2.24
x86_64,1055,3.12,2.27
x86_64,1000,3.12,2.17
aarch64,912,3.12,2.40
x86_64,710,3.10,2.38
aarch64,701,3.8,2.28
x86_64,637,3.8,2.32
x86_64,597,3.8,2.41
armv7l,570,3.9,2.31
aarch64,543,3.12,2.28
aarch64,526,3.11,2.38
aarch64,514,3.8,2.36
x86_64,508,3.9,2.38
x86_64,496,3.13,2.17
x86_64,454,3.9,2.33
aarch64,435,3.13,2.28
x86_64,418,3.9,2.23
aarch64,413,3.13,2.40
x86_64,406,3.9,2.22
aarch64,373,3.11,2.26
x86_64,304,3.10,2.33
x86_64,289,3.14,2.39
x86_64,271,3.10,2.32
x86_64,233,3.9,2.32
x86_64,211,3.9,2.24
x86_64,210,3.13,2.38
aarch64,203,3.8,2.35
aarch64,185,3.10,2.41
x86_64,182,3.11,2.32
x86_64,168,3.8,2.40
aarch64,160,3.10,2.40
aarch64,152,3.9,2.17
x86_64,131,3.8,2.22
x86_64,117,3.8,2.37
s390x,115,3.12,2.39
x86_64,115,3.12,2.32
aarch64,115,3.9,2.27
aarch64,107,3.8,2.27
s390x,106,3.12,2.28
aarch64,105,3.8,2.39
x86_64,104,3.9,2.19
x86_64,101,3.10,2.23
aarch64,101,3.11,2.40
x86_64,101,3.14,2.35
aarch64,98,3.11,2.17
aarch64,98,3.12,2.38
x86_64,96,3.12,2.37
ppc64le,92,3.12,2.39
armv7l,88,3.11,2.36
x86_64,88,3.13,2.27
x86_64,84,3.8,2.38
x86_64,81,3.11,2.33
x86_64,81,3.12,2.23
x86_64,81,3.12,2.33
aarch64,75,3.9,2.41
aarch64,72,3.12,2.27
ppc64le,56,3.12,2.34
x86_64,51,3.13,2.26
aarch64,50,3.10,2.17
x86_64,48,3.14,2.28
s390x,46,3.12,2.34
x86_64,45,3.11,2.23
x86_64,43,3.14,2.36
x86_64,39,3.10,2.24
ppc64le,38,3.13,2.41
s390x,38,3.13,2.41
x86_64,33,3.13,2.23
x86_64,31,3.11,2.22
ppc64le,30,3.11,2.28
s390x,30,3.11,2.28
x86_64,26,3.10,2.19
aarch64,24,3.12,2.17
armv7l,23,3.12,2.36
aarch64,19,3.11,2.37
s390x,17,3.11,2.34
aarch64,16,3.10,2.32
x86_64,14,3.11,2.24
x86_64,14,3.8,2.18
aarch64,14,3.14,2.36
ppc64le,14,3.11,2.34
aarch64,13,3.10,2.38
aarch64,13,3.10,2.27
ppc64le,12,3.11,2.17
x86_64,12,3.14,2.40
x86_64,12,3.13,2.33
aarch64,11,3.9,2.33
x86_64,11,3.12,2.18
x86_64,10,3.14,2.41
aarch64,10,3.13,2.38
x86_64,9,3.13,2.32
x86_64,9,3.8,2.19
aarch64,9,3.8,2.17
aarch64,8,3.12,2.26
x86_64,8,3.8,2.30
x86_64,8,3.12,2.19
x86_64,8,3.12,2.30
ppc64le,8,3.10,2.28
x86_64,8,3.14,2.31
armv7l,8,3.12,2.28
armv7l,8,3.11,2.28
x86_64,7,3.8,2.33
x86_64,7,3.10,2.21
x86_64,7,3.10,2.22
x86_64,7,3.9,2.18
ppc64le,6,3.13,2.40
ppc64le,6,3.12,2.28
s390x,6,3.11,2.36
aarch64,6,3.9,2.40
x86_64,6,3.9,2.29
s390x,6,3.13,2.40
i686,6,3.11,2.36
aarch64,6,3.11,2.27
ppc64le,6,3.11,2.36
x86_64,5,3.11,2.30
armv7l,5,3.10,2.35
armv7l,4,3.9,2.36
x86_64,4,3.12,2.22
x86_64,4,3.11,2.18
aarch64,4,3.14,2.41
x86_64,4,3.11,2.29
aarch64,4,3.14,2.39
s390x,4,3.10,2.34
aarch64,4,3.8,2.41
i686,3,3.9,2.31
aarch64,3,3.8,2.34
aarch64,2,3.9,2.38
armv7l,2,3.12,2.31
i686,2,3.10,2.31
s390x,2,3.12,2.35
x86_64,2,3.13,2.22
armv7l,2,3.13,2.28
aarch64,2,3.8,2.24
armv7l,2,3.10,2.28
i686,2,3.11,2.37
x86_64,2,3.9,2.25
armv7l,2,3.12,2.39
x86_64,2,3.11,2.12
aarch64,2,3.8,2.40
armv7l,2,3.9,2.28
armv7l,2,3.10,2.31
armv7l,2,3.8,2.31
armv8l,2,3.11,2.36
s390x,2,3.10,2.39
x86_64,2,3.13,2.24
armv7l,2,3.13,2.41
armv7l,1,3.13,2.36
aarch64,1,3.8,2.19
s390x,1,3.10,2.35
armv7l,1,3.10,2.36
x86_64,1,3.10,2.29
x86_64,1,3.12,2.21
armv7l,1,3.12,2.40
aarch64,1,3.12,2.23
