cpu,num_downloads,python_version,pip_version,glibc_version
x86_64,3487387,3.7,20.1,2.24
x86_64,1330844,3.7,20.0,2.27
x86_64,914935,3.7,19.0,2.23
x86_64,667954,3.8,20.1,2.27
x86_64,514483,3.7,20.3,2.28
x86_64,497479,3.7,20.1,2.23
x86_64,438580,3.6,9.0,2.17
x86_64,416986,3.7,9.0,2.26
x86_64,390507,3.7,20.3,2.27
x86_64,381769,3.6,20.3,2.27
x86_64,359562,3.7,20.2,2.28
x86_64,349445,3.6,20.1,2.28
x86_64,328724,3.8,20.3,2.28
x86_64,311034,3.8,20.3,2.27
x86_64,296395,3.6,20.3,2.17
x86_64,240109,3.7,20.3,2.26
x86_64,232159,3.7,19.0,2.24
x86_64,229709,3.6,20.2,2.28
x86_64,222486,2.7,9.0,2.17
x86_64,216399,3.6,20.3,2.28
x86_64,212752,3.7,20.1,2.28
x86_64,194788,3.6,9.0,2.27
x86_64,182798,3.6,20.2,2.27
x86_64,178170,3.6,19.2,2.27
x86_64,168614,3.8,20.2,2.28
x86_64,166717,3.8,20.0,2.31
x86_64,161507,3.7,20.3,2.23
x86_64,141166,3.8,20.2,2.27
x86_64,133846,3.7,18.1,2.28
x86_64,133116,3.6,19.3,2.27
x86_64,127139,3.7,19.3,2.27
x86_64,121577,3.6,19.3,2.17
x86_64,104567,2.7,19.1,2.23
x86_64,103136,3.6,20.1,2.27
x86_64,99933,3.8,20.0,2.28
x86_64,96763,3.7,20.2,2.27
x86_64,90951,3.7,9.0,2.27
x86_64,90029,3.6,20.3,2.23
x86_64,89734,3.7,20.0,2.28
x86_64,88963,3.8,20.3,2.31
x86_64,88299,3.5,20.3,2.23
x86_64,86345,3.6,20.2,2.23
x86_64,85691,2.7,19.3,2.23
x86_64,85111,3.7,20.3,2.24
x86_64,79701,3.8,20.1,2.28
x86_64,78642,2.7,20.3,2.17
x86_64,78315,3.7,20.0,2.24
x86_64,76500,3.7,19.3,2.28
x86_64,75147,2.7,20.3,2.27
x86_64,70676,3.5,19.1,2.23
x86_64,70574,3.7,20.1,2.27
x86_64,68739,3.6,20.2,2.17
x86_64,67956,2.7,20.3,2.23
x86_64,67364,3.6,18.1,2.23
x86_64,63404,3.7,19.2,2.24
x86_64,63129,3.9,20.3,2.28
x86_64,60537,3.5,20.1,2.24
x86_64,56718,2.7,20.0,2.28
x86_64,55343,3.5,19.3,2.23
x86_64,54400,3.7,20.2,2.23
x86_64,52819,3.6,20.3,2.24
x86_64,52157,3.7,20.3,2.17
x86_64,52023,3.6,20.1,2.24
x86_64,50849,2.7,20.3,2.24
x86_64,47949,2.7,9.0,2.27
x86_64,47103,2.7,19.3,2.24
x86_64,46588,3.7,18.1,2.27
x86_64,45235,3.6,20.1,2.17
x86_64,40931,3.7,20.2,2.26
x86_64,40180,3.6,20.0,2.17
x86_64,40156,2.7,9.0,2.26
x86_64,39446,3.6,10.0,2.23
x86_64,39197,3.9,20.3,2.27
x86_64,38070,3.6,20.3,2.12
x86_64,37026,3.6,20.0,2.24
x86_64,36035,3.6,18.1,2.17
x86_64,35977,3.7,19.3,2.30
x86_64,32734,3.8,18.1,2.27
x86_64,32630,3.7,20.3,2.31
x86_64,32369,2.7,20.1,2.24
x86_64,31717,3.7,19.2,2.17
x86_64,31699,3.5,20.3,2.12
x86_64,31675,2.7,20.0,2.24
x86_64,30492,3.5,18.1,2.23
x86_64,29728,3.6,20.2,2.24
x86_64,29010,3.6,18.1,2.27
x86_64,28455,3.6,19.1,2.24
x86_64,27406,3.8,20.2,2.23
x86_64,27159,3.7,19.1,2.23
x86_64,27092,3.7,18.1,2.24
x86_64,27073,3.6,20.1,2.23
x86_64,25053,3.8,20.2,2.31
x86_64,24564,3.5,9.0,2.19
x86_64,24530,3.5,20.0,2.23
x86_64,23054,3.6,20.0,2.27
x86_64,23002,2.7,20.3,2.19
x86_64,22891,3.7,19.3,2.24
x86_64,22824,3.8,20.3,2.23
x86_64,22759,3.7,20.2,2.24
x86_64,22471,3.7,19.0,2.17
x86_64,22450,3.5,20.3,2.17
x86_64,22274,3.7,19.1,2.24
x86_64,22162,3.8,20.0,2.27
x86_64,22058,3.5,9.0,2.27
x86_64,21791,3.8,20.1,2.31
x86_64,21708,3.6,10.0,2.19
x86_64,21554,3.6,19.1,2.23
x86_64,21377,3.8,19.3,2.27
x86_64,21257,2.7,20.3,2.28
x86_64,20909,3.5,20.1,2.23
x86_64,20673,3.7,19.1,2.28
x86_64,20553,3.6,20.0,2.23
x86_64,20520,3.6,19.2,2.24
x86_64,20426,3.6,9.0,2.19
x86_64,19761,3.7,19.3,2.23
x86_64,19064,2.7,9.0,2.23
x86_64,18986,3.7,20.0,2.26
x86_64,18849,2.7,18.1,2.23
x86_64,18741,2.7,8.1,2.7
x86_64,18727,3.6,20.0,2.28
x86_64,18569,3.7,20.0,2.23
x86_64,18357,3.6,20.3,2.31
x86_64,18171,3.6,19.3,2.23
x86_64,17944,3.8,20.2,2.26
x86_64,17790,3.7,20.1,2.17
x86_64,16903,3.8,20.2,2.24
x86_64,16883,3.6,19.3,2.28
x86_64,16796,3.6,20.3,2.19
x86_64,16456,2.7,20.2,2.23
x86_64,16409,3.7,19.2,2.28
x86_64,16399,3.6,19.3,2.24
x86_64,16242,3.6,18.1,2.24
x86_64,15883,3.5,19.2,2.23
x86_64,15650,3.7,20.0,2.17
x86_64,15554,3.9,18.1,2.27
x86_64,15268,3.7,20.2,2.17
x86_64,15213,3.8,19.3,2.17
x86_64,15144,2.7,20.1,2.27
x86_64,15059,3.5,20.2,2.24
x86_64,15024,3.6,19.2,2.23
x86_64,14931,2.7,9.0,2.19
x86_64,14721,3.6,19.0,2.27
x86_64,14680,3.6,20.3,2.26
x86_64,13940,3.7,19.2,2.23
x86_64,13887,3.9,20.3,2.31
x86_64,13839,3.7,19.1,2.27
x86_64,13492,2.7,19.0,2.27
x86_64,13438,2.7,19.3,2.28
x86_64,13331,3.8,19.2,2.28
x86_64,12950,2.7,20.2,2.27
x86_64,12802,2.7,18.1,2.28
x86_64,12313,3.6,9.0,2.28
x86_64,12070,3.5,8.1,2.9
x86_64,12016,2.7,19.2,2.19
x86_64,11874,3.6,9.0,2.24
x86_64,11677,3.9,20.2,2.27
x86_64,11674,3.6,10.0,2.24
x86_64,11599,3.6,18.1,2.28
x86_64,11512,3.5,9.0,2.24
x86_64,11462,2.7,9.0,2.24
x86_64,11435,3.5,20.2,2.28
x86_64,11292,3.5,20.3,2.24
x86_64,11083,2.7,19.0,2.23
x86_64,10893,3.7,20.1,2.26
x86_64,10557,3.8,19.3,2.28
x86_64,10541,3.5,20.3,2.27
x86_64,10520,3.8,19.2,2.23
x86_64,10097,2.7,8.1,2.2
x86_64,10054,2.7,20.1,2.17
x86_64,10001,3.8,20.3,2.24
x86_64,9984,3.7,19.2,2.26
x86_64,9886,2.7,20.2,2.24
x86_64,9774,3.7,19.3,2.26
x86_64,9218,3.6,19.1,2.28
x86_64,9039,3.5,20.2,2.23
x86_64,8974,2.7,20.1,2.23
x86_64,8875,3.6,19.1,2.27
x86_64,8714,2.7,20.3,2.31
x86_64,8703,3.8,20.2,2.17
x86_64,8670,3.7,20.2,2.31
x86_64,8433,3.8,19.3,2.23
x86_64,8279,3.8,19.1,2.28
x86_64,8233,3.7,18.0,2.24
x86_64,8084,3.7,19.2,2.27
x86_64,8012,3.6,19.2,2.28
x86_64,7994,3.7,20.0,2.30
x86_64,7930,3.8,20.0,2.23
x86_64,7925,3.7,19.0,2.28
x86_64,7704,3.8,20.3,2.17
x86_64,7514,2.7,19.1,2.19
x86_64,7473,2.7,19.0,2.17
x86_64,7410,3.9,20.2,2.28
x86_64,7386,3.8,20.3,2.26
x86_64,7363,3.5,9.0,2.17
x86_64,7263,3.7,20.1,2.31
x86_64,6879,3.8,18.1,2.28
x86_64,6810,2.7,10.0,2.17
x86_64,6628,2.7,20.2,2.28
x86_64,6459,3.6,19.2,2.31
x86_64,6425,3.8,9.0,2.31
x86_64,6240,3.6,9.0,2.23
x86_64,6126,3.6,19.0,2.28
x86_64,6010,3.6,19.0,2.24
x86_64,5954,3.5,19.0,2.24
x86_64,5621,3.8,19.3,2.26
x86_64,5539,2.7,20.1,2.28
x86_64,5496,3.6,10.0,2.28
x86_64,5492,3.8,20.0,2.30
x86_64,5436,3.7,19.3,2.32
x86_64,5420,3.7,18.1,2.23
x86_64,5299,2.7,20.2,2.17
x86_64,5229,3.6,10.0,2.17
x86_64,5207,2.7,19.3,2.17
x86_64,5187,2.7,20.0,2.27
x86_64,5158,2.7,19.3,2.27
x86_64,5089,2.7,20.0,2.19
x86_64,4952,3.8,20.1,2.32
x86_64,4861,3.8,20.1,2.17
x86_64,4805,3.6,18.1,2.19
x86_64,4799,2.7,20.3,2.26
