cpu,num_downloads,python_version,pip_version,glibc_version
x86_64,1332837,3.7,20.0,2.24
x86_64,1091628,3.7,20.0,2.27
x86_64,962396,3.7,19.0,2.23
x86_64,526756,3.7,20.2,2.28
x86_64,434561,3.6,9.0,2.17
x86_64,433730,3.7,20.1,2.23
x86_64,388851,3.7,9.0,2.26
x86_64,385772,3.7,20.3,2.28
x86_64,345936,3.7,20.1,2.28
x86_64,317743,3.8,20.1,2.27
x86_64,316463,3.6,20.2,2.28
x86_64,311041,3.6,20.3,2.27
x86_64,273844,3.6,20.3,2.17
x86_64,258807,3.6,20.2,2.27
x86_64,253099,3.8,20.3,2.28
x86_64,237603,3.8,20.2,2.28
x86_64,235199,3.7,20.3,2.27
x86_64,229637,2.7,9.0,2.17
x86_64,212938,3.6,20.1,2.28
x86_64,200403,3.6,9.0,2.27
x86_64,197375,3.8,20.3,2.27
x86_64,195529,3.7,20.3,2.26
x86_64,183921,3.8,20.2,2.27
x86_64,175184,3.7,20.3,2.23
x86_64,167659,3.7,20.2,2.27
x86_64,162653,3.8,20.0,2.31
x86_64,154468,2.7,19.1,2.23
x86_64,151670,3.7,18.1,2.28
x86_64,151138,3.6,20.3,2.28
x86_64,140309,3.6,19.2,2.27
x86_64,124198,3.6,19.3,2.27
x86_64,120443,3.6,20.2,2.17
x86_64,108814,3.7,19.3,2.27
x86_64,99928,3.8,20.1,2.28
x86_64,99777,3.7,20.3,2.12
x86_64,94253,2.7,19.3,2.23
x86_64,88148,3.6,20.3,2.23
x86_64,83918,3.6,20.1,2.27
x86_64,81729,2.7,20.3,2.17
x86_64,80556,3.8,20.0,2.28
x86_64,78595,3.5,19.1,2.23
x86_64,74333,3.7,20.1,2.27
x86_64,69677,3.6,20.3,2.24
x86_64,69601,3.5,20.3,2.23
x86_64,69286,3.6,20.2,2.23
x86_64,67081,3.7,19.3,2.28
x86_64,66659,3.8,20.3,2.31
x86_64,62678,3.7,20.3,2.24
x86_64,61916,3.5,19.3,2.23
x86_64,61845,3.6,20.1,2.24
x86_64,61042,3.7,20.0,2.28
x86_64,59657,3.7,9.0,2.27
x86_64,59617,2.7,20.3,2.23
x86_64,57297,3.7,20.1,2.24
x86_64,56028,3.7,19.2,2.24
x86_64,51861,2.7,20.3,2.27
x86_64,50869,3.7,18.1,2.24
x86_64,50073,2.7,9.0,2.27
x86_64,49845,3.7,20.2,2.26
x86_64,48055,3.6,18.1,2.23
x86_64,47817,3.8,20.2,2.31
x86_64,47152,3.5,20.1,2.24
x86_64,46035,3.7,20.2,2.23
x86_64,45838,3.7,20.3,2.17
x86_64,45786,3.7,18.1,2.27
x86_64,45039,3.6,20.3,2.12
x86_64,43481,3.6,20.2,2.24
x86_64,41152,3.6,20.1,2.17
x86_64,41055,2.7,19.3,2.24
x86_64,40904,3.6,10.0,2.23
x86_64,39641,3.6,20.0,2.24
x86_64,39616,3.9,20.3,2.28
x86_64,37076,2.7,20.3,2.24
x86_64,36987,3.7,20.2,2.24
x86_64,36295,3.7,19.3,2.30
x86_64,34958,3.5,20.3,2.12
x86_64,33921,3.6,20.0,2.17
x86_64,33910,2.7,20.2,2.27
x86_64,33228,3.6,20.0,2.27
x86_64,32772,3.6,18.1,2.27
x86_64,30621,2.7,9.0,2.26
x86_64,30549,3.6,19.3,2.17
x86_64,30012,3.6,19.1,2.24
x86_64,29934,2.7,20.0,2.28
x86_64,28851,2.7,20.0,2.24
x86_64,28731,3.5,18.1,2.23
x86_64,28697,2.7,20.1,2.27
x86_64,28463,3.7,19.2,2.17
x86_64,27929,3.6,19.3,2.24
x86_64,27503,3.6,20.1,2.23
x86_64,26947,2.7,20.1,2.24
x86_64,26692,3.6,19.2,2.24
x86_64,25756,3.5,19.2,2.23
x86_64,25215,2.7,8.1,2.7
x86_64,25057,3.7,19.1,2.24
x86_64,24663,2.7,9.0,2.23
