cpu,num_downloads,python_version,pip_version,glibc_version
x86_64,2442614,3.10,24.2,2.35
x86_64,2339452,3.7,24.0,2.26
x86_64,1731920,3.11,24.0,2.36
x86_64,1519245,3.6,21.0,2.27
x86_64,1477807,3.8,21.0,2.31
x86_64,1123559,3.8,24.2,2.31
x86_64,1047601,3.11,24.2,2.35
x86_64,931308,3.10,24.2,2.31
x86_64,901715,3.9,24.2,2.31
x86_64,848613,3.10,22.2,2.35
x86_64,824810,3.7,20.2,2.26
aarch64,684160,3.8,24.2,2.26
x86_64,679495,3.10,22.3,2.35
x86_64,605759,3.11,24.2,2.36
x86_64,594878,3.12,24.2,2.35
x86_64,593231,3.11,24.2,2.34
x86_64,586752,3.9,21.2,2.31
x86_64,574031,3.9,24.2,2.35
x86_64,540381,3.7,24.0,2.27
x86_64,527107,3.7,20.2,2.28
x86_64,508443,3.12,24.2,2.36
x86_64,469902,3.10,24.1,2.35
x86_64,459855,3.7,23.0,2.26
x86_64,452643,3.10,23.0,2.26
x86_64,435949,3.10,22.0,2.35
x86_64,435270,3.10,23.0,2.36
x86_64,414752,3.6,9.0,2.17
x86_64,352468,3.11,23.2,2.35
x86_64,351144,3.6,20.3,2.17
x86_64,333820,3.8,24.2,2.35
x86_64,333189,3.10,24.0,2.35
x86_64,325870,3.11,24.2,2.31
x86_64,313906,3.10,24.2,2.36
x86_64,312212,3.9,21.3,2.34
x86_64,286434,3.10,24.2,2.26
x86_64,272516,3.12,24.2,2.39
x86_64,266623,3.9,23.0,2.36
x86_64,260029,3.11,24.0,2.31
x86_64,258331,3.9,24.0,2.31
x86_64,248940,3.12,24.2,2.31
aarch64,239716,3.10,22.2,2.35
x86_64,224764,3.6,20.1,2.28
x86_64,224265,3.7,9.0,2.27
x86_64,221696,3.10,23.3,2.31
x86_64,216770,3.13,24.2,2.36
x86_64,215686,3.9,24.2,2.36
x86_64,214768,3.8,23.1,2.31
x86_64,213829,3.10,24.2,2.39
x86_64,201137,3.11,24.0,2.35
x86_64,199769,3.11,24.2,2.39
