cpu,num_downloads,python_version,pip_version,glibc_version
x86_64,4241525,3.7,20.1,2.24
x86_64,3284579,3.7,20.0,2.27
x86_64,1001132,3.8,20.2,2.27
x86_64,945485,3.7,21.3,2.26
x86_64,912366,3.8,21.0,2.31
x86_64,856496,3.8,21.3,2.31
x86_64,841161,3.6,21.3,2.17
x86_64,734878,3.8,21.1,2.27
x86_64,684736,3.7,21.3,2.27
x86_64,677984,3.7,20.2,2.26
x86_64,664784,3.6,9.0,2.17
x86_64,612410,3.6,21.3,2.27
x86_64,607713,2.7,9.0,2.17
x86_64,542987,3.7,20.2,2.28
x86_64,516514,3.9,21.3,2.31
x86_64,491590,3.7,19.0,2.23
x86_64,483363,3.7,21.3,2.28
x86_64,444307,3.7,21.3,2.31
x86_64,371161,3.7,21.1,2.28
x86_64,369789,3.7,21.0,2.28
x86_64,365869,3.9,21.0,2.32
x86_64,361909,3.7,20.1,2.28
x86_64,344626,3.8,21.3,2.28
x86_64,342675,3.7,9.0,2.26
x86_64,333201,3.6,20.1,2.28
x86_64,328039,3.8,21.2,2.31
x86_64,324841,3.8,20.0,2.31
x86_64,321661,3.7,21.1,2.27
x86_64,318978,3.7,21.2,2.31
x86_64,293186,3.8,21.2,2.28
x86_64,271304,3.7,21.0,2.27
x86_64,258201,3.7,19.0,2.27
x86_64,224578,3.9,21.2,2.31
x86_64,210107,3.6,21.3,2.31
x86_64,207877,3.6,21.0,2.27
x86_64,204581,3.7,21.2,2.27
x86_64,198235,3.8,21.3,2.27
x86_64,193227,3.7,20.2,2.27
x86_64,183476,3.5,20.1,2.23
x86_64,178338,3.7,21.2,2.28
x86_64,172978,3.7,20.1,2.23
x86_64,165867,3.7,21.1,2.26
x86_64,157265,3.6,20.2,2.28
x86_64,143483,3.6,9.0,2.27
x86_64,141186,3.7,19.3,2.28
x86_64,139445,3.6,21.2,2.31
x86_64,138284,3.8,20.2,2.28
x86_64,138253,3.6,19.3,2.27
x86_64,126542,2.7,20.3,2.27
x86_64,123563,3.6,20.2,2.27
x86_64,121849,2.7,9.0,2.27
x86_64,119068,3.6,21.2,2.27
x86_64,119023,3.7,21.0,2.31
x86_64,117337,2.7,20.3,2.23
x86_64,116740,3.6,21.0,2.28
x86_64,112522,3.9,20.2,2.31
x86_64,111742,3.9,21.3,2.28
x86_64,108362,3.6,21.3,2.28
x86_64,107585,3.7,20.1,2.27
x86_64,107188,3.6,21.1,2.27
x86_64,106662,3.7,20.1,2.26
x86_64,104340,3.9,21.0,2.28
x86_64,103846,3.8,21.0,2.28
x86_64,102928,3.8,21.1,2.28
x86_64,100338,3.7,21.0,2.24
x86_64,99905,3.8,21.1,2.31
x86_64,99121,3.8,20.3,2.28
x86_64,93856,3.7,18.1,2.28
x86_64,91368,2.7,20.3,2.17
x86_64,89005,3.7,20.0,2.28
x86_64,87241,3.5,9.0,2.19
x86_64,82648,3.9,21.1,2.28
x86_64,82099,3.6,20.3,2.17
x86_64,81136,2.7,20.2,2.26
x86_64,80117,3.8,19.3,2.27
x86_64,77852,3.7,20.3,2.28
x86_64,77424,3.6,21.2,2.28
x86_64,76952,3.6,18.1,2.23
x86_64,75900,3.7,21.3,2.23
x86_64,75106,3.8,21.2,2.26
x86_64,73566,3.8,21.1,2.26
x86_64,71977,3.7,21.2,2.26
x86_64,69479,3.7,21.3,2.17
x86_64,67884,3.7,21.1,2.31
x86_64,65924,3.7,19.3,2.27
x86_64,65898,3.8,21.2,2.27
x86_64,65769,3.7,20.1,2.17
x86_64,65360,3.6,19.1,2.24
x86_64,64674,3.6,19.2,2.27
x86_64,64537,3.6,21.3,2.23
x86_64,64322,3.9,21.2,2.28
x86_64,59351,3.6,10.0,2.19
x86_64,58890,3.7,18.1,2.24
x86_64,58729,3.7,21.3,2.24
x86_64,58443,3.7,9.0,2.27
x86_64,57493,3.7,19.2,2.24
x86_64,54743,3.6,20.1,2.27
x86_64,53349,2.7,20.0,2.24
x86_64,51217,3.8,20.3,2.31
x86_64,51209,2.7,20.0,2.28
x86_64,50715,2.7,19.0,2.27
x86_64,49357,3.6,21.3,2.24
x86_64,49239,3.8,20.0,2.27
x86_64,49067,3.7,20.1,2.31
x86_64,45896,3.7,21.2,2.24
x86_64,44951,3.9,21.3,2.27
x86_64,44607,3.8,20.1,2.27
x86_64,43433,3.8,20.1,2.28
x86_64,43270,2.7,20.3,2.28
x86_64,42977,3.8,20.1,2.31
x86_64,42919,2.7,20.0,2.17
x86_64,42745,3.9,21.1,2.31
x86_64,39953,2.7,20.3,2.31
x86_64,39921,2.7,9.0,2.26
x86_64,37531,2.7,9.0,2.23
x86_64,37279,3.6,18.1,2.28
x86_64,37269,3.6,21.2,2.24
x86_64,36323,3.8,21.0,2.27
x86_64,35904,3.5,19.3,2.23
x86_64,35576,3.5,20.0,2.27
x86_64,35341,3.6,20.2,2.17
x86_64,34520,3.6,21.1,2.28
x86_64,34494,2.7,20.1,2.24
x86_64,34406,3.8,21.3,2.26
x86_64,33669,3.6,20.2,2.23
x86_64,32374,3.5,19.1,2.23
x86_64,31817,3.6,21.2,2.17
x86_64,31531,3.8,20.2,2.31
x86_64,30952,3.5,20.3,2.23
x86_64,30645,3.6,19.3,2.17
x86_64,29385,3.6,20.0,2.31
x86_64,29277,3.6,20.0,2.17
x86_64,28713,3.7,10.0,2.28
x86_64,28515,3.6,19.2,2.24
x86_64,28280,3.6,20.0,2.27
x86_64,27085,3.10,21.3,2.31
x86_64,26853,3.6,21.3,2.26
