cpu,num_downloads,python_version,pip_version,glibc_version
x86_64,2205292,3.9,23.0,2.35
x86_64,1655840,3.7,24.0,2.26
x86_64,1468896,3.8,21.0,2.31
x86_64,1215365,3.9,24.2,2.31
x86_64,1097171,3.10,24.2,2.35
x86_64,780338,3.8,24.2,2.31
x86_64,657863,3.7,24.0,2.27
x86_64,631255,3.7,20.2,2.26
x86_64,618844,3.10,22.2,2.35
x86_64,538891,3.9,21.2,2.31
x86_64,530824,3.10,22.3,2.35
x86_64,455186,3.10,24.1,2.35
x86_64,447434,3.11,24.2,2.35
x86_64,443888,3.11,24.1,2.34
x86_64,419921,3.7,20.2,2.28
x86_64,389033,3.7,23.0,2.26
x86_64,369244,3.9,21.3,2.34
x86_64,323007,3.10,24.0,2.31
x86_64,308360,3.10,24.2,2.31
x86_64,303498,3.11,24.0,2.36
x86_64,276679,3.8,24.2,2.35
x86_64,271128,3.7,9.0,2.27
x86_64,260435,3.10,24.1,2.26
x86_64,255304,3.9,24.2,2.35
x86_64,239873,3.6,20.1,2.28
x86_64,238177,3.9,23.0,2.36
x86_64,235754,3.10,23.0,2.26
x86_64,216520,3.10,24.0,2.35
x86_64,212981,3.9,24.0,2.31
x86_64,209556,3.12,24.0,2.36
x86_64,207658,3.6,9.0,2.17
x86_64,202483,3.12,24.2,2.35
x86_64,199318,3.10,22.0,2.35
x86_64,183353,3.10,23.0,2.36
x86_64,159566,2.7,9.0,2.27
x86_64,152961,3.7,21.3,2.28
x86_64,149114,3.10,23.3,2.31
x86_64,144974,2.7,9.0,2.26
x86_64,141934,3.8,24.0,2.31
x86_64,140658,3.8,23.0,2.26
x86_64,138153,3.8,23.1,2.31
x86_64,135425,3.11,23.2,2.35
x86_64,134599,3.8,24.2,2.26
x86_64,133016,3.9,23.0,2.31
x86_64,130822,3.9,22.1,2.26
x86_64,127991,3.6,20.3,2.17
x86_64,127944,3.8,24.0,2.28
x86_64,127794,3.6,21.0,2.27
x86_64,125074,3.11,24.2,2.36
x86_64,120672,3.11,24.0,2.31
x86_64,113918,3.7,24.0,2.28
x86_64,113688,3.8,20.0,2.31
x86_64,104632,3.9,24.2,2.28
x86_64,97110,3.8,23.0,2.31
aarch64,95424,3.7,20.2,2.26
x86_64,92662,3.10,23.2,2.36
x86_64,88751,3.12,24.0,2.35
aarch64,87648,3.8,24.2,2.26
x86_64,87036,3.8,22.2,2.31
x86_64,82854,3.8,22.0,2.31
x86_64,82818,3.9,22.2,2.31
x86_64,81953,3.11,23.2,2.34
x86_64,81552,3.7,24.0,2.31
x86_64,80631,3.10,23.3,2.35
x86_64,77601,3.6,21.3,2.17
x86_64,76538,3.10,24.2,2.36
x86_64,75702,3.8,24.2,2.27
x86_64,74730,3.10,23.2,2.35
aarch64,73837,3.10,22.2,2.35
x86_64,73422,3.7,21.3,2.26
x86_64,72600,3.10,24.1,2.31
x86_64,72295,3.12,24.0,2.39
x86_64,72151,3.10,24.0,2.26
x86_64,71874,3.11,24.2,2.31
x86_64,71385,3.8,21.0,2.26
x86_64,70380,3.8,23.0,2.36
x86_64,68143,3.11,24.0,2.34
x86_64,67547,3.11,24.0,2.35
x86_64,67503,3.8,21.3,2.28
x86_64,65554,3.8,21.2,2.31
x86_64,63988,3.9,21.1,2.28
aarch64,61193,3.7,24.0,2.26
x86_64,60686,3.8,22.3,2.31
x86_64,59337,3.9,24.2,2.36
aarch64,58404,3.9,21.3,2.34
x86_64,56770,3.8,24.2,2.28
x86_64,55913,3.7,24.0,2.35
x86_64,55791,2.7,9.0,2.17
x86_64,55758,3.7,9.0,2.26
aarch64,55570,3.8,21.0,2.31
x86_64,55074,3.9,24.2,2.34
x86_64,52457,3.10,23.0,2.31
x86_64,50989,3.6,21.3,2.28
x86_64,50309,3.8,24.0,2.27
x86_64,49675,3.11,24.1,2.36
x86_64,49516,3.7,21.3,2.31
x86_64,49292,3.5,20.3,2.23
x86_64,47781,3.10,23.3,2.36
x86_64,45206,3.9,22.3,2.31
x86_64,45080,3.7,19.3,2.28
x86_64,42991,3.10,24.0,2.28
x86_64,42836,3.7,22.3,2.31
x86_64,42140,3.12,24.0,2.31
x86_64,41765,3.8,20.2,2.27
aarch64,41142,3.10,22.3,2.35
x86_64,41059,3.10,23.2,2.31
x86_64,40741,3.9,24.0,2.35
x86_64,40621,3.7,21.0,2.28
x86_64,40608,3.9,23.3,2.31
x86_64,40107,3.8,22.3,2.28
x86_64,40104,3.9,24.1,2.35
x86_64,39907,3.12,24.2,2.36
x86_64,39823,3.9,24.0,2.28
x86_64,39697,3.9,23.3,2.26
x86_64,39635,3.8,24.2,2.36
x86_64,39354,3.11,23.3,2.35
x86_64,39160,3.8,24.1,2.31
x86_64,38432,3.6,19.2,2.27
x86_64,37325,3.9,21.0,2.28
x86_64,37144,3.9,22.0,2.27
x86_64,37055,3.11,24.1,2.35
x86_64,35606,3.8,23.3,2.31
x86_64,34821,3.6,20.2,2.28
aarch64,32616,3.7,24.0,2.28
x86_64,32149,3.6,21.2,2.31
aarch64,32047,3.9,21.2,2.31
x86_64,31862,3.11,23.1,2.31
x86_64,31575,3.11,24.2,2.28
x86_64,31173,3.9,23.1,2.31
x86_64,31094,3.9,23.0,2.28
x86_64,30825,3.7,22.0,2.26
x86_64,30574,3.8,21.1,2.26
x86_64,30545,3.9,20.3,2.31
aarch64,30290,3.8,21.0,2.26
x86_64,29984,3.11,24.0,2.39
x86_64,28883,3.9,24.2,2.26
x86_64,28388,3.11,23.2,2.36
x86_64,28015,3.8,22.0,2.27
x86_64,27996,3.9,24.2,2.17
aarch64,27900,3.11,24.0,2.36
x86_64,27868,3.7,20.0,2.27
x86_64,27814,3.7,23.0,2.36
x86_64,27302,3.7,21.1,2.26
x86_64,27126,3.9,24.1,2.31
x86_64,27035,3.8,22.0,2.28
x86_64,26772,3.6,21.3,2.27
x86_64,26394,3.10,24.2,2.28
x86_64,25938,3.8,21.2,2.28
x86_64,25746,3.8,20.2,2.28
x86_64,25527,3.9,22.1,2.31
x86_64,25488,3.11,24.2,2.34
x86_64,25341,3.7,22.0,2.31
x86_64,25126,3.8,24.0,2.35
x86_64,24508,3.8,23.3,2.27
x86_64,24495,3.10,24.0,2.36
x86_64,24385,2.7,20.3,2.28
x86_64,23899,3.12,24.0,2.34
x86_64,23710,3.10,23.1,2.35
x86_64,23361,3.7,24.0,2.17
x86_64,23209,3.11,23.3,2.36
x86_64,23036,3.7,22.0,2.28
x86_64,23013,3.10,23.1,2.31
x86_64,22504,3.11,22.3,2.31
x86_64,22240,3.7,21.2,2.27
x86_64,22160,2.7,20.3,2.17
x86_64,21815,3.12,24.2,2.31
x86_64,21701,3.10,22.3,2.26
x86_64,21541,3.7,21.2,2.28
x86_64,21445,3.7,23.1,2.26
x86_64,21433,3.11,24.1,2.31
x86_64,21308,3.8,20.1,2.28
x86_64,21263,3.10,22.3,2.31
x86_64,20934,3.11,23.0,2.36
x86_64,20897,3.10,23.0,2.35
x86_64,20785,3.12,24.2,2.39
x86_64,20729,3.11,24.0,2.28
x86_64,20599,3.12,24.1,2.31
x86_64,20483,3.6,9.0,2.27
x86_64,20369,2.7,20.2,2.26
x86_64,20140,3.11,23.2,2.31
x86_64,19727,3.7,21.2,2.31
x86_64,18799,3.8,21.1,2.31
x86_64,18763,3.11,22.3,2.34
x86_64,18213,3.7,19.0,2.23
x86_64,18118,3.8,22.0,2.26
x86_64,17784,3.9,22.0,2.31
x86_64,17777,3.8,20.2,2.31
x86_64,17654,2.7,20.3,2.26
x86_64,17630,3.8,20.3,2.31
x86_64,17557,3.9,24.0,2.27
x86_64,17279,2.7,20.3,2.35
x86_64,17147,3.10,24.2,2.27
x86_64,16504,3.10,23.0,2.28
aarch64,16292,3.10,24.1,2.35
x86_64,16125,3.9,23.2,2.31
x86_64,15930,3.9,21.3,2.31
aarch64,15726,3.9,23.0,2.35
x86_64,14534,3.12,23.2,2.36
x86_64,14509,3.7,22.1,2.17
x86_64,14428,3.8,22.1,2.31
x86_64,14386,3.7,23.0,2.31
