cpu,num_downloads,python_version,pip_version,glibc_version
x86_64,2158623,2.7,19.2,2.24
x86_64,1012288,3.7,19.0,2.23
x86_64,496694,3.6,9.0,2.17
x86_64,334508,2.7,9.0,2.17
x86_64,321827,3.6,20.1,2.17
x86_64,259925,3.7,19.2,2.23
x86_64,253500,3.6,20.1,2.27
x86_64,237582,3.8,20.1,2.27
x86_64,189934,3.7,20.1,2.28
x86_64,174029,3.7,20.1,2.23
x86_64,172889,3.7,9.0,2.26
x86_64,167411,3.6,20.1,2.28
x86_64,155050,3.7,20.1,2.27
x86_64,144482,3.5,20.1,2.23
x86_64,138127,3.5,19.3,2.23
x86_64,137060,3.5,19.1,2.23
x86_64,127878,3.6,20.0,2.24
x86_64,123380,3.6,20.1,2.23
x86_64,121448,3.6,9.0,2.27
x86_64,118009,2.7,20.1,2.23
x86_64,116205,2.7,20.1,2.27
x86_64,116022,2.7,19.1,2.24
x86_64,106256,3.8,20.1,2.28
x86_64,96439,3.7,20.0,2.24
x86_64,96312,3.6,19.2,2.24
x86_64,88295,3.7,20.0,2.27
x86_64,85853,2.7,20.1,2.17
x86_64,84917,2.7,9.0,2.23
x86_64,83586,3.6,10.0,2.23
x86_64,80545,3.6,20.1,2.24
x86_64,79588,3.7,20.1,2.24
x86_64,78007,2.7,19.3,2.23
x86_64,67642,3.6,19.3,2.28
x86_64,66018,3.6,20.0,2.27
x86_64,63866,3.6,20.0,2.23
x86_64,63773,3.6,19.3,2.17
x86_64,62257,3.7,20.0,2.28
x86_64,59591,3.6,19.3,2.27
x86_64,59173,3.5,20.0,2.23
x86_64,57148,3.6,19.2,2.27
x86_64,55076,3.7,19.3,2.24
x86_64,52788,2.7,20.0,2.24
x86_64,52642,2.7,20.0,2.28
x86_64,49896,2.7,19.1,2.23
x86_64,47362,3.7,20.0,2.23
x86_64,45949,3.6,20.0,2.28
x86_64,45542,3.5,18.1,2.23
x86_64,45305,3.5,9.0,2.19
x86_64,43486,2.7,9.0,2.19
x86_64,42548,3.7,18.1,2.28
x86_64,42007,3.6,19.3,2.23
x86_64,39455,3.7,19.2,2.24
x86_64,39108,3.5,19.3,2.19
x86_64,38630,2.7,9.0,2.27
x86_64,35471,3.8,20.0,2.31
x86_64,34627,2.7,9.0,2.24
x86_64,34454,3.6,20.0,2.17
x86_64,33846,3.5,20.1,2.17
x86_64,32210,3.6,19.3,2.24
x86_64,31544,3.6,20.1,2.19
x86_64,29861,3.6,18.1,2.17
x86_64,29578,3.6,9.0,2.19
x86_64,27970,2.7,20.2b1,2.24
x86_64,26209,3.7,19.3,2.28
x86_64,25657,2.7,8.1,2.7
x86_64,25452,3.6,19.0,2.23
x86_64,24263,3.7,19.1,2.24
x86_64,24011,2.7,18.1,2.23
x86_64,23329,3.8,20.0,2.28
x86_64,21731,3.7,19.3,2.23
x86_64,21607,3.5,20.1,2.12
x86_64,21306,3.5,20.1,2.24
x86_64,20734,2.7,8.1,2.2
x86_64,20580,3.5,8.1,2.9
x86_64,20461,3.7,20.1,2.26
x86_64,20326,3.8,20.1,2.31
x86_64,19922,2.7,19.0,2.24
x86_64,19867,3.6,19.3,2.26
x86_64,19594,2.7,20.1,2.24
x86_64,19181,3.5,8.1,2.2
x86_64,19046,3.6,18.1,2.23
x86_64,18917,3.5,9.0,2.24
x86_64,18675,3.6,19.1,2.24
x86_64,18519,3.7,19.0,2.17
x86_64,18482,3.6,18.1,2.27
x86_64,18455,3.5,20.2b1,2.23
x86_64,17858,2.7,20.2b1,2.23
x86_64,17378,2.7,20.1,2.19
x86_64,17316,3.8,20.0,2.27
x86_64,16584,3.7,20.1,2.17
x86_64,16354,3.6,18.1,2.28
x86_64,16323,3.7,18.1,2.24
x86_64,16122,3.7,9.0,2.27
x86_64,15923,2.7,19.0,2.23
x86_64,15884,3.7,19.2,2.28
x86_64,15408,3.7,18.1,2.27
x86_64,15158,3.7,19.0,2.24
x86_64,14752,3.6,19.1,2.17
x86_64,14604,3.7,19.3,2.27
x86_64,14391,3.8,20.1,2.23
x86_64,14182,3.6,19.0,2.28
x86_64,14052,2.7,20.2b1,2.17
x86_64,13967,3.8,19.2,2.26
x86_64,13786,3.7,19.2,2.27
x86_64,13673,3.5,18.0,2.17
x86_64,13619,3.6,20.1,2.12
x86_64,13342,3.7,19.2,2.17
x86_64,13023,2.7,18.1,2.17
x86_64,12957,3.6,18.1,2.24
x86_64,12036,3.8,19.3,2.23
x86_64,12002,3.7,19.1,2.23
x86_64,11512,3.6,10.0,2.24
x86_64,11404,3.6,19.2,2.23
x86_64,11304,3.6,20.2b1,2.17
x86_64,10206,2.7,9.0,2.26
x86_64,9853,3.6,9.0,2.23
x86_64,9546,3.6,19.2,2.28
x86_64,9422,3.6,19.0,2.24
x86_64,9390,3.7,20.0,2.17
x86_64,9378,2.7,19.1,2.19
x86_64,9227,3.7,19.0,2.28
x86_64,9198,2.7,20.0,2.19
x86_64,8803,3.5,9.0,2.17
x86_64,8617,3.5,19.2,2.23
x86_64,8517,2.7,10.0,2.23
x86_64,8432,3.6,9.0,2.28
x86_64,8347,3.8,19.2,2.28
x86_64,8316,3.7,19.1,2.27
x86_64,8132,3.8,19.2,2.27
x86_64,7945,3.8,18.1,2.27
x86_64,7726,2.7,8.1,2.4
x86_64,7264,3.5,9.0,2.23
x86_64,7226,2.7,20.0,2.27
x86_64,7007,3.7,20.0,2.26
x86_64,6770,3.6,19.1,2.23
x86_64,6769,3.7,20.1,2.12
x86_64,6691,3.5,20.1,2.27
x86_64,6596,3.6,9.0,2.12
x86_64,6537,2.7,18.1,2.27
x86_64,6494,3.7,20.1,2.30
x86_64,6260,3.8,19.3,2.28
x86_64,6257,3.7,18.1,2.23
x86_64,6179,2.7,19.3,2.24
x86_64,6037,3.6,10.0,2.17
x86_64,6035,3.6,20.1,2.26
x86_64,6001,3.5,10.0,2.23
x86_64,5985,3.6,20.0,2.19
x86_64,5938,3.7,18.1,2.19
x86_64,5765,3.6,20.2b1,2.23
