cpu,num_downloads,python_version,pip_version,glibc_version
x86_64,2286752,3.7,20.0,2.24
x86_64,1644049,3.7,20.0,2.27
x86_64,1169648,3.7,19.0,2.23
x86_64,934188,3.7,20.2,2.28
x86_64,614276,3.6,9.0,2.17
x86_64,610131,3.6,20.2,2.27
x86_64,599768,3.8,20.1,2.27
x86_64,490278,3.8,20.2,2.28
x86_64,485038,3.6,20.2,2.28
x86_64,461970,3.7,20.2,2.27
x86_64,448194,3.6,20.2,2.17
x86_64,435677,3.7,20.1,2.28
x86_64,407092,3.7,20.1,2.23
x86_64,406557,3.7,9.0,2.26
x86_64,393628,3.8,20.2,2.27
x86_64,360687,3.6,20.1,2.28
x86_64,322852,3.7,20.2,2.26
x86_64,273741,2.7,9.0,2.17
x86_64,234117,3.6,19.2,2.27
x86_64,229699,3.6,9.0,2.27
x86_64,220627,3.7,20.2,2.23
x86_64,216276,3.6,19.3,2.27
x86_64,182120,3.7,18.1,2.28
x86_64,166518,3.8,20.0,2.31
x86_64,158166,3.6,20.2,2.23
x86_64,146624,3.7,20.1,2.27
x86_64,141183,3.6,20.2,2.24
x86_64,135667,3.8,20.0,2.27
x86_64,119774,2.7,19.1,2.23
x86_64,118709,3.7,19.2,2.24
x86_64,117960,3.7,19.3,2.27
x86_64,116773,3.8,20.2,2.31
x86_64,98885,3.7,20.2,2.24
x86_64,97247,3.8,20.0,2.28
x86_64,95873,3.5,19.1,2.23
x86_64,95477,2.7,20.2,2.17
x86_64,94793,2.7,19.3,2.23
x86_64,87621,3.7,19.2,2.23
x86_64,84842,2.7,20.2,2.27
x86_64,83819,3.7,20.0,2.28
x86_64,82536,3.7,20.1,2.24
x86_64,79330,3.6,20.1,2.27
x86_64,74537,3.7,19.3,2.28
x86_64,73280,3.5,19.3,2.23
x86_64,71898,2.7,20.2,2.23
x86_64,71799,3.8,20.1,2.28
x86_64,67736,3.9,20.2,2.28
x86_64,67100,3.5,20.2,2.23
x86_64,66232,3.7,9.0,2.27
x86_64,55517,2.7,9.0,2.27
x86_64,53959,2.7,20.0,2.28
x86_64,52382,3.6,18.1,2.23
x86_64,51001,2.7,19.1,2.24
x86_64,49173,3.6,20.1,2.24
x86_64,48932,3.6,10.0,2.23
x86_64,48574,3.7,18.1,2.27
x86_64,48145,3.7,20.2,2.17
x86_64,47092,3.6,20.0,2.24
x86_64,46175,3.6,19.2,2.24
x86_64,44967,3.6,18.1,2.27
x86_64,41062,3.8,20.2,2.23
x86_64,40170,3.5,18.1,2.23
x86_64,39832,3.9,20.2,2.27
x86_64,38614,3.6,20.2,2.12
x86_64,38480,3.6,20.0,2.17
x86_64,38440,3.6,19.3,2.17
x86_64,35216,2.7,20.2,2.19
x86_64,34123,2.7,9.0,2.19
x86_64,33823,2.7,20.0,2.24
x86_64,33612,2.7,18.1,2.23
x86_64,33212,2.7,20.2,2.24
x86_64,33177,3.6,19.1,2.24
x86_64,31901,3.7,19.3,2.30
x86_64,31357,3.7,20.3b1,2.23
x86_64,31251,3.7,19.1,2.24
x86_64,31146,3.5,20.2,2.17
x86_64,30822,3.7,18.1,2.24
x86_64,29767,3.5,20.2,2.12
x86_64,28874,2.7,20.1,2.24
x86_64,28435,3.5,20.2,2.24
x86_64,28305,2.7,9.0,2.23
x86_64,28280,3.6,18.1,2.17
x86_64,28089,3.6,20.0,2.28
x86_64,27919,3.5,19.2,2.23
x86_64,27879,3.6,20.1,2.23
x86_64,27764,3.8,20.1,2.31
x86_64,27115,3.7,19.2,2.17
x86_64,27096,3.6,19.3,2.24
x86_64,26984,3.5,9.0,2.19
x86_64,26384,2.7,20.2,2.28
x86_64,25970,3.7,19.0,2.17
x86_64,25846,3.7,19.3,2.24
x86_64,25338,3.6,20.0,2.27
x86_64,25303,3.6,20.1,2.17
x86_64,25291,3.6,18.1,2.24
x86_64,25147,2.7,9.0,2.26
x86_64,25141,3.6,20.2,2.19
x86_64,24768,2.7,8.1,2.7
x86_64,24560,3.7,20.2,2.31
x86_64,24005,3.7,19.1,2.23
x86_64,23584,3.8,9.0,2.27
x86_64,23555,2.7,20.3b1,2.23
x86_64,23248,3.6,19.0,2.28
x86_64,23203,3.8,18.1,2.27
x86_64,23159,3.5,20.0,2.23
x86_64,22374,3.7,20.0,2.26
x86_64,21800,3.7,20.1,2.17
x86_64,21544,3.5,20.1,2.23
x86_64,21437,3.5,8.1,2.9
x86_64,20636,2.7,19.0,2.23
x86_64,20537,3.8,20.2,2.17
x86_64,19966,3.6,9.0,2.19
x86_64,19934,3.5,20.1,2.24
x86_64,18903,2.7,19.3,2.24
x86_64,18202,2.7,20.3b1,2.24
x86_64,17621,2.7,20.1,2.27
x86_64,17222,3.8,20.2,2.24
x86_64,17119,3.8,20.2,2.26
x86_64,16275,3.7,20.0,2.17
x86_64,16000,3.7,20.0,2.23
x86_64,15854,3.8,19.2,2.23
x86_64,15788,3.6,19.3,2.23
x86_64,15671,2.7,9.0,2.24
x86_64,15566,3.8,19.2,2.28
x86_64,15535,3.7,19.2,2.28
x86_64,15418,3.6,9.0,2.28
x86_64,14844,3.5,9.0,2.24
x86_64,14799,3.7,19.1,2.28
x86_64,14649,2.7,18.1,2.28
x86_64,14523,3.6,18.1,2.28
x86_64,14285,3.7,20.1,2.26
x86_64,14172,3.6,20.2,2.26
x86_64,13900,3.7,20.0,2.31
x86_64,13623,3.6,19.0,2.27
x86_64,13560,3.5,9.0,2.27
x86_64,13526,3.7,18.1,2.23
x86_64,13325,3.7,19.0,2.24
x86_64,13267,3.6,20.2,2.31
x86_64,13045,2.7,20.1,2.23
x86_64,13013,3.5,20.2,2.27
x86_64,12444,2.7,20.1,2.17
x86_64,12443,3.6,19.3,2.28
x86_64,12407,2.7,8.1,2.2
x86_64,12200,3.6,10.0,2.19
x86_64,12179,3.9,18.1,2.27
x86_64,12106,3.8,20.2,2.32
x86_64,12018,2.7,20.3b1,2.17
x86_64,11871,3.6,9.0,2.24
x86_64,11754,3.5,20.2,2.28
x86_64,11692,3.6,20.0,2.23
x86_64,11104,3.8,19.3,2.27
x86_64,11041,3.8,19.3,2.17
x86_64,11012,3.8,20.1,2.23
x86_64,10721,3.6,10.0,2.24
x86_64,10559,3.7,19.2,2.27
x86_64,10554,2.7,18.1,2.27
x86_64,10542,3.7,19.0,2.28
x86_64,10497,3.8,19.3,2.28
x86_64,10427,3.7,20.2,2.30
x86_64,9937,3.8,19.3,2.26
x86_64,9842,3.6,19.2,2.28
x86_64,9522,3.5,9.0,2.17
x86_64,9276,3.7,19.1,2.27
x86_64,9022,3.5,8.1,2.2
x86_64,8919,2.7,19.0,2.17
x86_64,8388,2.7,19.1,2.19
x86_64,8343,2.7,20.0,2.27
x86_64,8269,3.8,19.3,2.23
x86_64,8101,3.6,19.2,2.17
x86_64,8001,3.7,19.3,2.23
x86_64,7913,2.7,19.0,2.27
x86_64,7689,3.8,18.1,2.28
x86_64,7576,2.7,20.0,2.23
x86_64,7345,3.6,19.2,2.23
x86_64,7001,3.7,18.0,2.24
x86_64,6911,2.7,20.2,2.30
x86_64,6700,3.6,9.0,2.23
x86_64,6466,3.8,9.0,2.31
x86_64,6360,3.7,19.2,2.26
x86_64,6349,2.7,9.0,2.28
x86_64,6277,3.8,19.2,2.27
x86_64,5882,3.5,20.0,2.24
x86_64,5854,3.6,19.1,2.23
x86_64,5814,2.7,10.0,2.17
x86_64,5794,2.7,20.1,2.28
x86_64,5682,3.6,10.0,2.17
x86_64,5666,2.7,19.3,2.27
x86_64,5546,3.8,20.1,2.26
x86_64,5451,3.6,19.1,2.27
x86_64,5432,3.6,19.0,2.24
x86_64,5355,2.7,20.0,2.17
x86_64,5352,3.5,20.3b1,2.23
aarch64,5346,3.8,20.0,2.31
x86_64,5266,3.8,20.0,2.23
x86_64,5084,3.9,20.2,2.31
x86_64,4992,3.7,19.3,2.26
x86_64,4952,3.8,20.1,2.32
x86_64,4891,3.7,19.3,2.32
x86_64,4813,3.6,18.1,2.31
