cpu,num_downloads,python_version,pip_version,glibc_version
x86_64,2097668,3.11,24.1,2.35
x86_64,1531476,3.10,25.0,2.35
x86_64,1502485,3.11,24.0,2.35
aarch64,1203212,3.9,21.3,2.34
x86_64,1156098,3.11,24.3,2.34
x86_64,995554,3.8,21.0,2.31
x86_64,940922,3.11,23.2,2.35
x86_64,913703,3.11,24.0,2.36
x86_64,913263,3.7,24.0,2.27
x86_64,886889,3.12,25.0,2.39
x86_64,883421,3.10,22.2,2.35
x86_64,841202,3.9,25.0,2.31
x86_64,753302,3.10,22.3,2.35
x86_64,740311,3.10,25.0,2.39
x86_64,695947,3.11,25.0,2.36
x86_64,649399,3.10,24.3,2.26
x86_64,635347,3.11,25.0,2.39
x86_64,597305,3.10,25.0,2.31
x86_64,574860,3.10,22.0,2.35
x86_64,571539,3.11,25.0,2.35
x86_64,487996,3.10,23.0,2.36
x86_64,469442,3.12,24.0,2.39
x86_64,469404,3.9,21.3,2.34
x86_64,465811,3.12,24.3,2.36
x86_64,443854,3.10,24.3,2.31
x86_64,440472,3.8,25.0,2.31
x86_64,439787,3.9,25.0,2.39
x86_64,433159,3.9,21.2,2.31
aarch64,428686,3.10,22.2,2.35
x86_64,412768,3.10,23.0,2.26
x86_64,366888,3.10,24.3,2.35
x86_64,346485,3.10,25.0,2.36
x86_64,324980,3.11,24.0,2.31
x86_64,323129,3.9,23.0,2.36
aarch64,276248,3.8,25.0,2.26
x86_64,275038,3.11,25.0,2.31
x86_64,274858,3.9,25.0,2.35
x86_64,264357,3.10,24.0,2.35
x86_64,263496,3.8,25.0,2.26
x86_64,257546,3.12,25.0,2.31
x86_64,244838,3.12,25.0,2.35
x86_64,239185,3.12,24.3,2.35
x86_64,221363,3.11,23.3,2.35
x86_64,217121,3.12,25.0,2.36
x86_64,215524,3.11,24.3,2.35
x86_64,207255,3.9,25.0,2.36
x86_64,199402,3.7,24.0,2.26
x86_64,194053,3.9,25.0,2.34
x86_64,193517,3.10,24.2,2.35
x86_64,186618,3.13,24.3,2.36
x86_64,183107,3.10,23.3,2.31
x86_64,179251,3.11,24.3,2.36
x86_64,170904,3.9,24.0,2.31
x86_64,167209,3.7,23.0,2.26
x86_64,167180,3.13,25.0,2.39
x86_64,165329,3.9,24.3,2.31
aarch64,156325,3.10,25.0,2.36
x86_64,154214,3.12,24.2,2.34
x86_64,139247,3.12,24.3,2.39
x86_64,137708,3.9,22.1,2.26
x86_64,136596,3.8,23.1,2.31
x86_64,132637,3.10,24.3,2.36
x86_64,123738,3.11,25.0,2.34
x86_64,121082,3.9,25.0,2.28
x86_64,120613,3.10,23.0,2.31
x86_64,118942,3.7,20.2,2.26
x86_64,112385,3.12,24.3,2.31
x86_64,112015,3.8,24.3,2.31
x86_64,111036,3.8,25.0,2.39
x86_64,110099,3.10,24.0,2.31
x86_64,109632,3.11,24.0,2.34
x86_64,108242,3.10,23.2,2.35
x86_64,107260,3.12,24.2,2.35
aarch64,106682,3.11,23.2,2.35
x86_64,106547,3.11,23.3,2.36
x86_64,106435,3.10,23.3,2.35
x86_64,104604,3.11,24.3,2.39
x86_64,103646,3.12,24.2,2.36
aarch64,99953,3.10,22.3,2.35
x86_64,95425,3.10,24.1,2.35
x86_64,95091,3.10,24.2,2.31
x86_64,94685,3.10,23.2,2.36
