cpu,num_downloads,python_version,pip_version,glibc_version
aarch64,2681443,3.9,21.3,2.34
x86_64,2347083,3.10,24.3,2.35
x86_64,1050241,3.8,21.0,2.31
x86_64,999001,3.10,24.3,2.31
x86_64,900911,3.11,24.0,2.36
x86_64,876178,3.10,22.2,2.35
x86_64,851946,3.9,24.3,2.31
x86_64,802932,3.11,24.3,2.35
x86_64,757542,3.10,22.3,2.35
x86_64,746239,3.11,23.2,2.35
x86_64,734197,3.12,24.3,2.39
x86_64,721181,3.11,24.3,2.34
x86_64,605006,3.8,24.3,2.31
x86_64,575877,3.12,24.3,2.36
x86_64,527076,3.11,24.3,2.36
x86_64,526106,3.10,24.3,2.39
x86_64,523969,3.10,24.1,2.35
x86_64,496307,3.9,21.2,2.31
x86_64,486066,3.10,22.0,2.35
x86_64,459261,3.11,24.3,2.39
x86_64,451495,3.12,24.3,2.35
x86_64,439940,3.10,23.0,2.36
x86_64,406604,3.10,24.2,2.35
x86_64,402761,3.9,24.3,2.35
x86_64,401652,3.10,23.0,2.26
aarch64,398694,3.10,22.2,2.35
x86_64,396258,3.10,24.3,2.36
x86_64,317701,3.12,24.3,2.31
x86_64,314510,3.9,24.3,2.39
x86_64,305140,3.12,24.0,2.39
x86_64,297649,3.9,23.0,2.36
x86_64,290114,3.11,24.0,2.31
x86_64,283703,3.11,24.0,2.35
x86_64,277217,3.9,21.3,2.34
x86_64,271307,3.11,24.2,2.36
x86_64,266146,3.11,24.3,2.31
x86_64,245600,3.10,24.0,2.35
x86_64,231317,3.7,24.0,2.27
x86_64,223991,3.9,24.3,2.36
x86_64,222633,3.10,24.3,2.26
x86_64,219127,3.10,24.2,2.31
x86_64,208656,3.7,24.0,2.26
x86_64,194293,3.9,24.0,2.31
x86_64,177588,3.8,24.3,2.26
x86_64,175465,3.9,24.2,2.31
x86_64,173989,3.13,24.3,2.36
x86_64,172590,3.7,23.0,2.26
x86_64,160584,3.8,23.1,2.31
x86_64,151697,3.12,24.2,2.34
x86_64,151609,3.7,20.2,2.26
x86_64,147236,3.9,24.3,2.34
x86_64,146930,3.11,24.2,2.35
x86_64,144251,3.10,23.3,2.31
x86_64,143368,3.9,22.1,2.26
x86_64,143139,3.11,23.3,2.35
x86_64,138044,3.9,21.1,2.28
x86_64,133883,3.12,24.2,2.35
x86_64,118534,3.9,21.0,2.28
x86_64,115890,3.9,24.3,2.28
x86_64,114385,3.8,24.3,2.28
x86_64,110860,3.11,24.0,2.34
x86_64,106847,3.11,23.0,2.36
x86_64,104469,3.11,24.3,2.28
x86_64,103382,3.10,24.0,2.31
x86_64,102000,3.10,23.2,2.36
x86_64,101395,3.10,23.0,2.31
x86_64,98818,3.8,24.3,2.35
aarch64,98469,3.10,24.3,2.36
x86_64,96788,3.8,21.0,2.26
x86_64,95055,3.9,22.2,2.31
x86_64,94444,3.11,24.2,2.34
x86_64,94370,3.8,24.3,2.39
x86_64,93495,3.8,23.0,2.26
x86_64,93243,3.10,23.3,2.35
x86_64,91905,3.8,24.3,2.36
aarch64,91293,3.11,23.2,2.35
x86_64,89887,3.12,24.2,2.36
aarch64,88287,3.10,22.3,2.35
x86_64,87428,3.10,23.3,2.36
x86_64,86722,3.8,24.0,2.31
x86_64,86461,3.9,24.2,2.28
x86_64,83860,3.8,20.0,2.31
x86_64,81752,3.10,23.2,2.35
aarch64,80184,3.9,21.2,2.31
x86_64,80046,3.7,9.0,2.27
x86_64,79407,3.10,24.0,2.28
x86_64,78013,3.11,23.3,2.36
aarch64,77456,3.8,24.3,2.26
x86_64,74398,3.11,24.2,2.31
x86_64,71145,3.10,22.3,2.31
x86_64,70493,3.8,23.0,2.36
x86_64,69035,3.9,22.0,2.31
x86_64,68633,3.9,24.2,2.36
x86_64,68619,3.12,24.0,2.36
x86_64,68017,3.11,23.2,2.36
x86_64,67418,3.10,24.3,2.28
x86_64,65001,3.9,23.0,2.31
x86_64,64995,3.8,23.3,2.31
x86_64,63493,3.11,24.0,2.39
x86_64,61966,3.12,24.0,2.35
x86_64,61519,3.12,23.2,2.39
x86_64,61033,3.9,24.2,2.35
x86_64,57698,3.7,21.3,2.28
x86_64,56661,3.9,23.3,2.26
x86_64,55958,3.10,24.2,2.27
x86_64,53609,3.11,22.3,2.34
x86_64,52856,3.13,24.3,2.39
x86_64,52003,3.11,23.2,2.31
x86_64,51932,3.9,20.3,2.31
x86_64,51397,3.7,22.3,2.31
x86_64,50620,3.8,21.2,2.31
x86_64,50376,3.8,22.0,2.31
x86_64,49671,3.8,24.2,2.31
aarch64,49571,3.11,24.0,2.36
x86_64,49115,3.9,23.0,2.28
x86_64,48748,3.9,24.3,2.17
x86_64,48052,3.11,23.2,2.34
aarch64,47079,3.11,24.0,2.31
x86_64,47065,3.11,24.0,2.40
aarch64,46913,3.10,24.3,2.35
x86_64,46589,3.10,23.0,2.35
x86_64,45603,3.12,24.2,2.31
x86_64,45176,3.10,21.2,2.31
x86_64,44657,3.12,24.3,2.34
x86_64,43089,3.8,24.3,2.27
x86_64,42544,3.12,24.0,2.31
aarch64,42380,3.12,24.3,2.36
x86_64,41212,3.10,23.2,2.31
x86_64,40349,3.9,24.3,2.26
x86_64,39943,3.11,24.2,2.39
x86_64,39220,3.8,22.2,2.31
x86_64,37983,3.9,24.2,2.27
x86_64,37585,3.8,23.0,2.31
x86_64,36935,3.7,21.0,2.28
x86_64,36642,3.13,24.3,2.35
x86_64,35659,3.7,24.0,2.28
x86_64,33065,3.12,24.3,2.40
x86_64,32936,3.8,22.3,2.31
x86_64,32707,3.11,23.3,2.31
x86_64,32636,3.10,24.0,2.34
aarch64,32462,3.11,24.3,2.36
x86_64,32277,3.10,23.0,2.28
x86_64,32066,3.9,21.0,2.27
x86_64,32010,3.7,24.0,2.35
x86_64,31852,3.11,22.3,2.31
x86_64,30774,3.9,22.1,2.31
x86_64,30534,3.9,23.3,2.35
x86_64,30344,3.9,22.0,2.27
x86_64,30187,3.8,24.2,2.36
x86_64,29532,3.8,24.1,2.31
x86_64,29357,3.9,24.0,2.35
x86_64,29217,3.9,23.1,2.31
x86_64,29098,3.10,24.1,2.31
x86_64,28866,3.8,24.2,2.26
x86_64,28395,3.9,22.0,2.35
x86_64,28099,3.13,24.3,2.40
x86_64,28009,3.9,22.3,2.31
x86_64,27525,3.8,20.1,2.28
x86_64,27409,3.10,23.1,2.31
x86_64,27339,3.11,23.1,2.28
x86_64,26488,3.7,24.0,2.31
x86_64,26088,3.7,23.0,2.36
x86_64,25800,3.8,21.3,2.28
x86_64,25578,3.9,20.3,2.35
x86_64,25576,3.8,23.2,2.31
x86_64,25523,3.8,22.0,2.27
x86_64,25441,3.12,24.2,2.39
x86_64,25425,3.10,24.3,2.27
x86_64,25056,3.10,20.3,2.35
x86_64,25032,3.10,24.2,2.26
x86_64,24394,3.9,22.3,2.28
x86_64,24326,3.8,23.3,2.27
x86_64,23680,3.13,24.3,2.31
x86_64,23273,3.12,24.0,2.34
x86_64,23118,3.8,21.2,2.28
x86_64,22991,3.10,22.2,2.31
x86_64,22977,3.9,23.2,2.31
x86_64,21784,3.10,22.3,2.26
x86_64,21746,3.10,23.1,2.35
x86_64,21220,3.10,24.3,2.34
aarch64,21100,3.7,24.0,2.28
aarch64,21083,3.9,23.0,2.36
x86_64,21013,3.10,24.3,2.40
x86_64,20860,3.11,23.1,2.31
x86_64,20756,3.8,24.3,2.17
aarch64,20127,3.9,24.3,2.31
x86_64,20052,3.9,23.2,2.35
x86_64,20003,3.9,23.3,2.31
x86_64,19725,3.9,23.0,2.35
x86_64,19450,3.13,24.2,2.36
x86_64,19353,3.10,24.2,2.39
aarch64,18907,3.7,20.2,2.26
x86_64,18479,3.10,23.0,2.39
x86_64,18453,3.11,23.3,2.34
aarch64,18362,3.11,24.0,2.35
x86_64,18179,3.10,23.2,2.26
x86_64,17898,3.8,24.2,2.35
x86_64,17604,3.9,24.2,2.34
x86_64,17380,3.9,21.3,2.31
aarch64,17224,3.12,24.0,2.39
x86_64,16753,3.12,23.2,2.36
x86_64,16453,3.12,24.2,2.40
x86_64,16240,3.9,24.0,2.26
x86_64,16073,3.11,22.0,2.35
aarch64,15893,3.9,22.0,2.34
aarch64,15813,3.12,24.3,2.39
x86_64,15731,3.12,24.3,2.28
x86_64,15190,3.10,24.0,2.36
x86_64,14915,3.8,23.0,2.28
x86_64,14830,3.8,22.0,2.28
x86_64,14766,3.9,21.1,2.34
x86_64,14734,3.8,23.2,2.27
x86_64,14721,3.7,9.0,2.26
x86_64,14648,3.11,24.1,2.34
x86_64,14573,3.8,24.0,2.28
x86_64,14254,3.10,24.2,2.36
x86_64,14252,3.11,24.3,2.40
aarch64,14245,3.12,24.3,2.31
x86_64,14178,3.8,22.3,2.28
x86_64,14145,3.12,23.3,2.39
x86_64,14139,3.7,22.0,2.31
x86_64,13909,3.9,23.0,2.26
aarch64,13407,3.11,24.3,2.35
x86_64,13404,3.9,24.0,2.36
aarch64,13369,3.10,22.0,2.35
x86_64,12773,3.12,23.3,2.35
x86_64,12693,3.9,24.3,2.27
x86_64,12654,3.9,24.1,2.31
x86_64,12495,3.11,24.0,2.26
x86_64,12116,3.8,24.2,2.28
x86_64,12071,3.7,24.0,2.36
x86_64,11832,3.8,22.0,2.26
aarch64,11802,3.10,23.0,2.36
x86_64,11757,3.10,23.3,2.28
aarch64,11757,3.10,24.3,2.34
x86_64,11672,3.9,21.2,2.28
x86_64,11620,3.9,24.2,2.39
x86_64,11582,3.11,22.3,2.28
aarch64,11406,3.11,24.3,2.39
x86_64,11404,3.9,24.0,2.28
x86_64,11285,3.9,21.0,2.17
x86_64,11075,3.9,20.3,2.28
x86_64,11021,3.8,23.3,2.35
x86_64,10938,3.11,24.1,2.36
x86_64,10936,3.7,23.2,2.26
x86_64,10912,3.8,21.1,2.26
x86_64,10842,3.9,23.3,2.36
x86_64,10811,3.10,22.0,2.31
x86_64,10634,3.9,20.0,2.31
x86_64,10526,3.10,24.0,2.26
x86_64,10245,3.9,23.0,2.39
x86_64,10238,3.11,22.2,2.31
x86_64,10115,3.8,22.1,2.31
aarch64,10099,3.8,21.0,2.31
x86_64,9893,3.9,24.0,2.39
aarch64,9779,3.8,21.0,2.26
x86_64,9717,3.10,24.2,2.28
aarch64,9671,3.13,24.3,2.36
x86_64,9663,3.11,24.0,2.28
x86_64,9600,3.11,24.1,2.35
x86_64,9485,3.11,23.1,2.36
x86_64,9463,3.11,21.2,2.31
x86_64,9426,3.9,21.2,2.34
aarch64,9376,3.11,24.3,2.31
aarch64,9174,3.8,24.3,2.31
x86_64,9140,3.12,24.1,2.36
x86_64,9121,3.9,22.1,2.36
x86_64,8953,3.9,21.0,2.26
x86_64,8865,3.7,22.0,2.26
aarch64,8775,3.11,22.3,2.34
x86_64,8674,3.10,24.1,2.26
x86_64,8633,3.8,21.1,2.28
x86_64,8472,3.6,21.3,2.17
x86_64,8348,3.9,23.3,2.28
x86_64,8316,3.8,24.2,2.27
x86_64,8213,3.8,20.3,2.31
x86_64,8131,3.7,22.1,2.17
aarch64,8035,3.12,24.3,2.34
x86_64,8004,3.10,24.0,2.17
x86_64,7996,3.6,21.3,2.28
x86_64,7971,3.10,24.2,2.34
x86_64,7959,3.8,23.3,2.39
x86_64,7885,3.10,22.3,2.34
x86_64,7859,3.10,23.1,2.28
aarch64,7824,3.9,24.3,2.36
x86_64,7812,3.8,24.0,2.35
x86_64,7766,3.11,24.2,2.28
x86_64,7581,3.9,21.0,2.31
aarch64,7493,3.8,24.3,2.28
x86_64,7489,3.8,24.0,2.27
aarch64,7442,3.12,24.2,2.36
x86_64,7357,3.11,24.1,2.31
x86_64,7336,3.10,24.1,2.36
x86_64,7324,3.8,20.2,2.28
x86_64,7194,3.8,20.2,2.27
x86_64,7163,3.10,22.0,2.28
aarch64,7107,3.12,24.3,2.35
x86_64,7064,3.7,21.3,2.26
x86_64,7025,3.7,24.0,2.17
x86_64,6978,3.9,22.0,2.28
aarch64,6971,3.11,23.0,2.36
x86_64,6916,3.11,24.2,2.40
x86_64,6796,3.11,23.1,2.35
x86_64,6776,3.10,22.2,2.28
x86_64,6757,3.12,23.2,2.34
x86_64,6618,3.11,24.3,2.26
x86_64,6413,3.13,24.2,2.40
x86_64,6341,3.11,23.0,2.31
x86_64,6319,3.9,24.0,2.34
aarch64,6291,3.10,24.3,2.31
x86_64,6272,3.10,21.3,2.35
aarch64,6248,3.8,23.0,2.26
x86_64,6222,3.8,19.3,2.28
x86_64,6050,3.12,23.2,2.31
x86_64,5997,2.7,9.0,2.27
aarch64,5910,3.7,24.0,2.26
x86_64,5900,3.13,24.3,2.28
x86_64,5900,3.6,21.3,2.23
x86_64,5874,3.11,22.3,2.35
x86_64,5814,3.8,24.2,2.40
x86_64,5806,3.9,23.2,2.28
x86_64,5802,3.12,23.2,2.28
x86_64,5777,3.9,20.2,2.31
x86_64,5628,3.10,21.2,2.35
x86_64,5593,3.8,20.3,2.28
x86_64,5546,3.8,21.0,2.28
x86_64,5524,3.9,20.2,2.26
x86_64,5491,3.7,19.3,2.28
x86_64,5336,3.13,24.2,2.35
x86_64,5295,3.9,22.0,2.17
x86_64,5174,3.9,21.2,2.26
x86_64,5167,3.9,21.0,2.34
x86_64,5099,3.8,21.3,2.31
x86_64,4940,3.6,20.2,2.23
x86_64,4910,3.10,24.3,2.17
aarch64,4858,3.9,22.0,2.26
x86_64,4856,3.8,20.2,2.34
aarch64,4814,3.9,24.3,2.34
x86_64,4813,3.6,21.2,2.31
x86_64,4805,3.6,21.2,2.36
x86_64,4774,3.9,20.2,2.28
x86_64,4764,3.11,23.2,2.28
x86_64,4761,3.7,23.1,2.31
x86_64,4758,3.11,23.0,2.35
x86_64,4679,3.13,24.0,2.31
x86_64,4661,3.8,23.0,2.35
x86_64,4608,3.7,23.0,2.31
x86_64,4601,3.12,24.1,2.39
x86_64,4598,3.10,24.0,2.39
aarch64,4563,3.9,24.3,2.26
x86_64,4499,3.8,24.2,2.34
x86_64,4475,3.8,23.3,2.28
x86_64,4461,3.6,21.3,2.27
x86_64,4430,3.9,23.1,2.28
x86_64,4411,3.12,24.1,2.35
x86_64,4409,3.8,24.2,2.39
aarch64,4390,3.12,24.2,2.34
aarch64,4364,3.12,24.0,2.36
aarch64,4363,3.8,24.1,2.31
x86_64,4315,3.9,23.2,2.37
x86_64,4303,3.8,22.1,2.28
x86_64,4285,3.10,23.0,2.34
x86_64,4264,3.9,22.0,2.26
x86_64,4263,3.8,23.1,2.28
aarch64,4196,3.10,23.0,2.31
x86_64,4125,3.9,23.2,2.36
x86_64,4086,3.12,24.3,2.38
x86_64,4025,3.8,20.2,2.31
x86_64,3994,3.7,20.1,2.35
x86_64,3977,3.12,24.2,2.28
x86_64,3969,3.9,21.0,2.24
x86_64,3961,3.10,23.0,2.40
x86_64,3863,3.8,24.0,2.36
x86_64,3860,3.7,20.2,2.28
x86_64,3840,3.12,23.3,2.36
x86_64,3797,3.6,9.0,2.17
x86_64,3769,3.12,24.0,2.40
x86_64,3765,3.11,23.3,2.28
x86_64,3686,3.8,22.2,2.28
x86_64,3680,3.8,24.3,2.34
x86_64,3675,3.8,21.1,2.31
