cpu,num_downloads,python_version,pip_version,glibc_version
x86_64,4116976,3.8,21.0,2.31
x86_64,1163045,3.7,22.3,2.26
x86_64,1107015,3.7,20.2,2.26
x86_64,828005,3.7,20.0,2.27
x86_64,825148,3.6,21.3,2.17
x86_64,728854,3.7,22.3,2.27
x86_64,602945,3.8,22.3,2.31
x86_64,583272,3.6,20.1,2.28
x86_64,542877,3.7,21.3,2.26
x86_64,525087,3.7,20.2,2.28
x86_64,417920,3.8,21.2,2.27
x86_64,374049,3.8,22.0,2.31
x86_64,292925,3.6,21.0,2.27
x86_64,284515,3.9,21.2,2.31
x86_64,278754,3.7,22.3,2.31
x86_64,253468,3.7,22.3,2.28
x86_64,246846,2.7,9.0,2.17
x86_64,219917,3.6,9.0,2.17
x86_64,219574,3.7,22.0,2.31
x86_64,213587,3.9,22.3,2.28
x86_64,205753,3.9,22.3,2.31
x86_64,178614,3.7,21.3,2.28
x86_64,175740,3.7,9.0,2.26
x86_64,172608,3.6,21.3,2.27
x86_64,166118,3.7,21.0,2.28
x86_64,157716,3.7,21.1,2.27
x86_64,153064,3.8,22.0,2.27
x86_64,147228,3.8,22.2,2.31
x86_64,144653,3.6,20.3,2.17
x86_64,144407,3.8,20.0,2.31
x86_64,138596,3.9,22.0,2.31
x86_64,135914,3.8,21.3,2.28
x86_64,128025,3.7,19.2,2.28
x86_64,115408,3.6,19.2,2.27
x86_64,114543,3.8,22.3,2.27
x86_64,95088,3.7,21.3,2.31
x86_64,91782,3.5,20.3,2.23
x86_64,90108,3.7,21.1,2.31
x86_64,87480,3.6,21.0,2.28
aarch64,87311,3.7,22.3,2.28
x86_64,87124,3.8,22.1,2.31
x86_64,86061,3.8,22.3,2.28
x86_64,85133,3.7,21.2,2.28
x86_64,84231,3.6,21.2,2.31
x86_64,83500,3.8,20.2,2.27
x86_64,81664,3.7,22.2,2.31
x86_64,80021,3.10,22.3,2.31
x86_64,77238,3.7,21.1,2.26
x86_64,76639,3.6,21.3,2.28
x86_64,76563,3.7,21.1,2.28
x86_64,70385,3.8,22.0,2.28
x86_64,65439,3.10,22.3,2.35
aarch64,62671,3.8,21.0,2.31
x86_64,62236,3.6,20.2,2.28
x86_64,61029,3.9,22.2,2.31
x86_64,60096,2.7,20.2,2.26
x86_64,58837,3.8,21.2,2.31
x86_64,57728,3.7,19.0,2.23
x86_64,57366,3.6,21.3,2.31
x86_64,56312,3.10,22.2,2.31
x86_64,54054,3.7,20.0,2.28
x86_64,51340,3.8,22.1,2.26
x86_64,48272,3.6,9.0,2.27
x86_64,47367,3.7,20.1,2.27
x86_64,46272,3.8,21.1,2.31
x86_64,44059,3.7,19.3,2.28
x86_64,43979,3.7,21.2,2.27
x86_64,42861,3.10,22.2,2.35
x86_64,42289,3.7,22.1,2.31
x86_64,41838,3.7,22.0,2.28
x86_64,41462,3.8,20.2,2.28
x86_64,40702,3.8,21.3,2.31
x86_64,40507,3.7,22.2,2.27
x86_64,40115,3.8,21.0,2.28
x86_64,40082,3.6,21.1,2.17
x86_64,39651,3.9,22.1,2.26
x86_64,39277,3.6,20.0,2.17
x86_64,38348,3.11,22.3,2.31
x86_64,37401,2.7,20.3,2.27
x86_64,37391,2.7,9.0,2.27
x86_64,37246,3.7,19.0,2.27
x86_64,36969,3.6,21.2,2.28
x86_64,36921,2.7,20.3,2.23
x86_64,36447,3.6,20.2,2.27
x86_64,36199,2.7,20.3,2.17
x86_64,35994,2.7,20.0,2.17
x86_64,35980,3.7,20.0,2.26
x86_64,32173,3.7,21.2,2.31
x86_64,31449,3.6,21.3,2.23
x86_64,31237,3.8,21.1,2.26
x86_64,30413,3.7,20.1,2.28
x86_64,30350,3.8,21.2,2.28
x86_64,30286,3.8,22.2,2.28
x86_64,30132,3.8,21.0,2.26
aarch64,27595,3.7,20.2,2.26
x86_64,27489,3.7,22.3,2.24
x86_64,27314,3.7,22.2,2.26
x86_64,27209,3.9,22.1,2.31
aarch64,26934,3.9,21.2,2.31
x86_64,26850,3.9,21.3,2.28
x86_64,26263,3.9,22.0,2.28
x86_64,26263,3.7,20.3,2.31
x86_64,25288,3.7,22.3,2.17
aarch64,25147,3.7,22.3,2.26
x86_64,24550,3.9,20.3,2.31
x86_64,23518,3.10,22.0,2.35
x86_64,23191,3.7,20.2,2.31
x86_64,23102,3.9,21.3,2.31
x86_64,23008,3.5,20.1,2.23
x86_64,22772,3.9,22.3,2.26
x86_64,22677,3.8,22.3,2.35
x86_64,22344,3.8,20.1,2.31
x86_64,21978,3.6,19.0,2.28
x86_64,21535,3.6,21.3,2.26
x86_64,21360,3.9,22.3,2.35
x86_64,21085,3.9,22.0,2.26
x86_64,21000,3.8,21.0,2.23
x86_64,20888,3.10,22.1,2.31
x86_64,20502,3.7,20.1,2.26
x86_64,20208,3.7,20.1,2.23
x86_64,19626,3.7,21.3,2.27
x86_64,19385,3.6,20.2,2.17
x86_64,19044,3.8,20.2,2.31
x86_64,18952,3.7,18.1,2.28
x86_64,18810,3.8,20.3,2.28
x86_64,18423,3.5,9.0,2.19
x86_64,18392,3.8,22.2,2.26
x86_64,18000,3.7,22.2,2.28
x86_64,17542,3.6,21.2,2.27
x86_64,17431,3.7,19.2,2.24
x86_64,17417,3.7,21.0,2.27
x86_64,17269,3.6,19.3,2.23
x86_64,16901,3.6,21.3,2.24
x86_64,16701,3.8,21.1,2.28
x86_64,16470,3.7,22.1,2.27
x86_64,16364,3.8,21.1,2.27
x86_64,16186,3.8,21.3,2.26
x86_64,16040,3.8,22.2,2.27
x86_64,15855,2.7,20.3,2.24
x86_64,15827,3.8,22.3,2.26
x86_64,15787,3.8,22.1,2.35
x86_64,15545,3.7,20.3,2.28
x86_64,15310,3.7,22.3,2.23
x86_64,14942,3.6,21.1,2.27
x86_64,14925,3.7,22.0,2.17
x86_64,14253,3.7,20.3,2.27
x86_64,13992,3.6,19.3,2.17
x86_64,13615,2.7,19.3,2.17
x86_64,13473,3.8,20.0,2.27
x86_64,13261,3.7,20.1,2.24
