cpu,num_downloads,python_version,pip_version,glibc_version
x86_64,2768478,3.7,20.1,2.24
x86_64,1096781,3.7,20.0,2.27
x86_64,798467,3.8,19.3,2.27
x86_64,608016,3.7,19.0,2.23
x86_64,580007,3.7,20.2,2.28
x86_64,433591,3.7,21.0,2.28
x86_64,416530,3.6,21.0,2.27
x86_64,343681,3.7,9.0,2.26
x86_64,316071,3.8,21.0,2.28
x86_64,310277,3.7,21.0,2.27
x86_64,249773,3.6,9.0,2.17
x86_64,230984,3.6,21.0,2.28
x86_64,226277,3.6,21.0,2.17
x86_64,224617,3.7,21.0,2.26
x86_64,211090,3.8,21.0,2.27
x86_64,199211,2.7,9.0,2.17
x86_64,167498,3.7,20.1,2.23
x86_64,166866,3.8,21.0,2.31
x86_64,142686,3.6,9.0,2.27
x86_64,141125,3.6,19.3,2.27
x86_64,140716,3.6,20.1,2.28
x86_64,135790,3.7,20.1,2.28
x86_64,134820,3.8,20.0,2.31
x86_64,124541,3.6,20.2,2.28
x86_64,109416,3.9,21.0,2.28
x86_64,104290,3.7,21.0,2.23
x86_64,100122,3.6,19.2,2.27
x86_64,99912,3.7,21.0,2.31
x86_64,96626,3.8,20.2,2.28
x86_64,95075,3.7,21.0,2.24
x86_64,92243,2.7,9.0,2.27
x86_64,89035,3.7,19.3,2.27
x86_64,79987,3.6,21.0,2.12
x86_64,77279,2.7,19.3,2.23
x86_64,73823,3.7,20.2,2.27
x86_64,72942,3.6,20.2,2.23
x86_64,72516,3.8,20.1,2.28
x86_64,71102,3.6,20.2,2.27
x86_64,65629,3.6,21.0,2.23
x86_64,64396,3.7,20.0,2.28
x86_64,63702,3.7,20.1,2.27
x86_64,62267,3.6,21.0,2.31
x86_64,60970,2.7,20.3,2.27
x86_64,60301,3.8,20.2,2.27
x86_64,57982,3.7,19.3,2.32
x86_64,53589,3.7,20.3,2.28
x86_64,52843,3.7,18.1,2.28
x86_64,52282,3.6,20.0,2.27
x86_64,52125,3.7,19.3,2.28
x86_64,51585,3.6,20.1,2.27
x86_64,49932,3.6,21.0,2.24
x86_64,49268,3.9,21.0,2.27
x86_64,47790,3.5,20.1,2.24
x86_64,47632,3.7,18.1,2.27
x86_64,47365,2.7,20.3,2.23
x86_64,46394,3.8,20.3,2.28
x86_64,45842,3.8,18.1,2.27
x86_64,44058,3.6,20.3,2.27
x86_64,43102,3.6,20.3,2.28
x86_64,42714,3.7,21.0,2.17
x86_64,41036,3.9,21.0,2.31
x86_64,40823,3.5,19.1,2.23
x86_64,40495,2.7,19.1,2.23
x86_64,39561,2.7,20.3,2.17
x86_64,38703,3.5,9.0,2.24
x86_64,37822,3.6,20.1,2.24
x86_64,37533,3.7,19.2,2.24
x86_64,35683,3.8,20.1,2.31
x86_64,34398,3.6,20.1,2.17
x86_64,33694,2.7,20.3,2.24
x86_64,31692,2.7,19.3,2.24
x86_64,30090,3.7,19.1,2.24
x86_64,29146,3.6,20.2,2.17
x86_64,28519,2.7,9.0,2.26
x86_64,28277,3.8,20.2,2.26
x86_64,27979,3.6,18.1,2.17
x86_64,27160,3.6,20.1,2.23
x86_64,26820,3.7,9.0,2.27
x86_64,26597,3.8,20.2,2.31
x86_64,25187,3.5,19.3,2.23
x86_64,25007,3.7,20.2,2.23
x86_64,24497,3.6,20.0,2.24
x86_64,24410,3.9,18.1,2.27
x86_64,23876,3.6,20.2,2.24
x86_64,23424,3.6,20.0,2.17
x86_64,23274,3.5,20.3,2.23
x86_64,23256,3.7,19.0,2.17
x86_64,22329,3.6,18.1,2.27
x86_64,21745,3.8,20.0,2.28
x86_64,21585,3.8,21.0,2.23
x86_64,21442,3.6,19.3,2.17
x86_64,21259,2.7,8.1,2.7
x86_64,21072,2.7,20.0,2.24
x86_64,20753,2.7,18.1,2.23
x86_64,20259,3.7,19.1,2.28
x86_64,19989,3.7,20.2,2.26
x86_64,19190,3.5,18.1,2.23
x86_64,19040,3.6,19.1,2.24
x86_64,18481,3.6,18.1,2.23
x86_64,18460,3.7,20.3,2.27
x86_64,18407,3.7,19.1,2.23
x86_64,18268,3.7,20.1,2.17
