cpu,num_downloads,python_version,pip_version,glibc_version
x86_64,2928963,3.7,20.0,2.27
x86_64,1772676,3.7,20.1,2.24
x86_64,1355753,3.8,21.0,2.31
x86_64,865148,3.7,20.2,2.26
x86_64,855825,3.8,20.2,2.27
x86_64,848057,3.7,21.3,2.26
x86_64,786279,3.6,21.3,2.17
x86_64,775623,3.8,21.3,2.31
x86_64,589458,2.7,9.0,2.17
x86_64,588094,3.7,21.0,2.27
x86_64,550369,3.7,21.3,2.27
x86_64,538733,3.6,21.3,2.27
x86_64,527212,3.6,9.0,2.17
x86_64,496813,3.7,21.3,2.28
x86_64,489690,3.6,20.1,2.28
x86_64,478011,3.9,21.3,2.31
x86_64,413192,3.7,21.3,2.31
x86_64,409019,3.7,19.0,2.23
x86_64,388266,3.8,21.3,2.28
x86_64,354699,3.7,20.2,2.28
x86_64,326324,3.8,21.2,2.31
x86_64,302319,3.8,20.0,2.31
x86_64,275853,3.7,9.0,2.26
x86_64,275090,3.7,19.0,2.27
x86_64,274938,3.7,21.2,2.31
x86_64,274405,3.7,21.1,2.28
x86_64,266538,3.7,20.1,2.23
x86_64,247002,3.7,21.2,2.28
x86_64,240147,3.9,21.0,2.32
x86_64,239119,3.7,20.1,2.28
x86_64,223741,3.7,21.1,2.27
x86_64,215609,3.8,21.3,2.27
x86_64,214667,3.6,19.3,2.27
x86_64,213142,3.9,21.2,2.31
x86_64,203536,3.6,21.3,2.31
x86_64,189993,3.7,20.2,2.27
x86_64,177499,3.6,21.0,2.27
x86_64,175582,3.7,21.2,2.27
x86_64,174197,3.6,9.0,2.27
x86_64,168708,3.7,21.0,2.28
x86_64,157475,3.8,21.0,2.28
x86_64,155086,3.8,21.2,2.28
x86_64,146084,3.6,20.2,2.28
x86_64,141675,3.6,20.2,2.27
x86_64,137862,3.6,21.3,2.28
x86_64,132434,2.7,20.3,2.27
x86_64,128078,2.7,9.0,2.27
x86_64,123785,3.9,21.0,2.28
x86_64,120641,2.7,20.3,2.23
x86_64,119519,3.7,21.0,2.24
x86_64,118759,3.6,21.0,2.28
x86_64,116532,3.7,20.1,2.27
x86_64,115588,3.8,21.1,2.27
x86_64,113799,3.8,20.2,2.28
x86_64,113249,3.7,21.1,2.26
x86_64,113008,3.7,20.1,2.26
x86_64,112628,2.7,20.3,2.17
x86_64,104844,2.7,20.2,2.26
x86_64,102614,3.9,20.2,2.31
x86_64,101177,3.7,19.3,2.28
x86_64,96165,3.5,9.0,2.19
x86_64,95129,3.8,21.1,2.31
x86_64,93651,3.6,21.2,2.31
x86_64,92812,3.9,21.3,2.28
x86_64,92047,3.7,9.0,2.27
x86_64,91544,3.9,21.1,2.28
x86_64,88254,3.8,21.1,2.28
x86_64,86533,3.6,21.2,2.28
x86_64,84941,3.6,21.2,2.27
x86_64,82311,3.8,20.3,2.28
x86_64,80378,3.5,20.1,2.23
x86_64,78166,3.6,21.1,2.27
x86_64,77633,3.7,18.1,2.28
x86_64,76847,3.7,20.3,2.28
x86_64,76446,3.8,9.0,2.31
x86_64,67246,3.7,21.3,2.23
x86_64,66832,3.7,20.0,2.28
x86_64,65153,3.8,21.1,2.26
x86_64,62918,3.7,20.1,2.17
x86_64,61955,3.6,20.3,2.17
x86_64,61190,2.7,19.0,2.27
x86_64,60456,3.8,21.3,2.26
x86_64,60081,2.7,20.0,2.24
x86_64,59987,2.7,20.0,2.17
x86_64,56903,3.8,21.2,2.27
x86_64,55155,3.6,21.1,2.28
x86_64,55074,3.7,21.3,2.17
x86_64,54335,3.9,21.2,2.28
x86_64,53256,3.6,19.2,2.27
x86_64,51273,3.7,19.2,2.24
