cpu,num_downloads,python_version,pip_version,glibc_version
x86_64,4405756,3.8,21.0,2.31
x86_64,1140943,3.7,20.2,2.26
x86_64,930517,3.8,23.1,2.31
x86_64,853809,3.9,21.2,2.31
x86_64,710252,3.7,23.1,2.26
x86_64,675391,3.7,20.2,2.28
x86_64,621407,3.7,23.0,2.26
x86_64,602452,3.9,23.0,2.31
x86_64,545133,3.8,22.0,2.31
x86_64,460669,3.9,23.1,2.31
x86_64,451506,3.7,9.0,2.27
x86_64,437254,3.6,21.3,2.17
x86_64,399390,3.7,20.0,2.27
x86_64,385063,3.7,23.1,2.31
x86_64,372032,3.10,23.0,2.35
x86_64,367957,3.6,20.1,2.28
x86_64,362868,3.8,23.0,2.31
x86_64,361803,3.6,20.3,2.17
x86_64,338395,3.9,22.0,2.31
x86_64,324073,3.7,23.0,2.28
x86_64,322512,3.6,21.0,2.27
x86_64,280222,3.7,22.0,2.31
x86_64,277853,2.7,9.0,2.17
x86_64,275868,3.8,20.0,2.31
x86_64,269756,3.8,23.0,2.27
x86_64,244708,3.10,23.0,2.31
x86_64,241440,3.6,9.0,2.17
x86_64,228685,3.8,23.0,2.35
x86_64,227909,3.9,20.3,2.31
x86_64,204611,3.7,9.0,2.26
x86_64,198455,3.7,21.3,2.26
x86_64,197486,3.10,23.1,2.35
x86_64,194775,3.8,23.1,2.35
aarch64,193352,3.7,20.2,2.26
x86_64,190308,3.7,23.1,2.28
x86_64,183244,3.10,23.1,2.31
x86_64,180975,3.8,21.2,2.31
x86_64,179554,3.8,22.3,2.31
x86_64,169865,2.7,9.0,2.27
x86_64,164525,3.9,23.1,2.35
x86_64,158904,3.7,21.3,2.28
x86_64,155702,3.6,19.2,2.27
x86_64,148555,3.8,21.0,2.26
x86_64,147594,3.10,22.0,2.35
x86_64,145335,3.8,22.0,2.27
x86_64,135073,3.6,21.3,2.27
x86_64,130625,3.9,23.0,2.35
x86_64,130352,3.8,23.1,2.28
x86_64,128017,3.10,22.3,2.31
x86_64,126797,3.7,22.2,2.31
x86_64,126503,3.7,21.3,2.31
x86_64,126244,3.8,22.2,2.31
x86_64,123904,3.8,22.0,2.28
x86_64,123338,3.7,23.1,2.27
x86_64,121621,3.9,22.2,2.31
