cpu,num_downloads,python_version,glibc_version
x86_64,6853194,3.10,2.35
x86_64,5772733,3.11,2.35
x86_64,4923735,3.12,2.39
x86_64,4913267,3.9,2.27
x86_64,3325368,3.11,2.36
aarch64,2887539,3.10,2.35
x86_64,2524695,3.11,2.34
x86_64,2356691,3.11,2.39
x86_64,2324683,3.12,2.36
x86_64,1864302,3.9,2.31
x86_64,1731228,3.10,2.36
x86_64,1653584,3.10,2.39
x86_64,1561494,3.10,2.31
x86_64,1413501,3.12,2.31
x86_64,1287507,3.12,2.35
x86_64,1113792,3.8,2.31
x86_64,1001228,3.10,2.26
x86_64,995077,3.11,2.31
x86_64,934461,3.13,2.39
x86_64,916778,3.9,2.34
x86_64,818887,3.9,2.35
x86_64,769360,3.13,2.36
x86_64,765243,3.9,2.39
x86_64,712771,3.9,2.36
aarch64,668492,3.9,2.34
aarch64,659424,3.11,2.36
x86_64,492934,3.9,2.26
x86_64,426125,3.13,2.35
x86_64,392621,3.12,2.34
aarch64,372925,3.11,2.35
x86_64,325329,3.9,2.28
aarch64,314083,3.10,2.36
x86_64,311226,3.13,2.31
x86_64,290634,3.11,2.28
aarch64,269505,3.12,2.36
x86_64,231595,3.10,2.28
aarch64,226487,3.12,2.39
aarch64,184480,3.9,2.36
x86_64,181283,3.8,2.26
aarch64,176892,3.9,2.31
aarch64,172612,3.9,2.35
x86_64,161839,3.8,2.36
x86_64,156198,3.8,2.39
x86_64,138456,3.8,2.28
x86_64,111107,3.11,2.41
aarch64,110622,3.10,2.34
x86_64,109553,3.13,2.41
x86_64,105100,3.12,2.40
x86_64,100882,3.10,2.34
x86_64,96487,3.8,2.35
aarch64,86387,3.13,2.36
x86_64,81934,3.12,2.28
aarch64,81933,3.11,2.34
x86_64,75867,3.11,2.26
x86_64,73385,3.8,2.27
x86_64,54048,3.13,2.34
x86_64,53917,3.9,2.17
x86_64,52448,3.11,2.40
aarch64,47578,3.12,2.35
aarch64,44486,3.12,2.34
x86_64,43045,3.12,2.41
aarch64,36011,3.11,2.31
aarch64,35984,3.11,2.39
x86_64,33714,3.12,2.38
x86_64,31789,3.10,2.17
aarch64,28733,3.8,2.31
x86_64,24999,3.10,2.41
x86_64,21550,3.10,2.27
aarch64,20070,3.13,2.34
aarch64,19002,3.10,2.31
aarch64,16758,3.13,2.39
x86_64,15496,3.13,2.28
aarch64,14833,3.12,2.31
x86_64,13750,3.9,2.41
x86_64,13034,3.10,2.40
x86_64,12896,3.11,2.38
x86_64,12866,3.11,2.17
aarch64,12471,3.10,2.26
x86_64,11455,3.13,2.40
x86_64,11130,3.11,2.19
aarch64,9858,3.9,2.26
aarch64,9445,3.11,2.28
aarch64,9194,3.13,2.41
x86_64,8466,3.10,2.33
aarch64,7983,3.13,2.35
x86_64,7604,3.8,2.17
x86_64,7073,3.12,2.26
aarch64,6880,3.8,2.26
aarch64,6873,3.10,2.28
x86_64,6846,3.12,2.17
x86_64,6608,3.10,2.38
aarch64,6231,3.11,2.41
x86_64,6128,3.12,2.27
x86_64,5692,3.9,2.40
aarch64,5620,3.13,2.31
aarch64,5140,3.12,2.41
aarch64,5104,3.9,2.28
x86_64,4704,3.8,2.34
aarch64,4632,3.12,2.38
x86_64,4511,3.11,2.37
aarch64,4421,3.10,2.39
x86_64,4370,3.9,2.33
x86_64,4110,3.11,2.27
aarch64,4038,3.10,2.38
x86_64,3775,3.10,2.37
x86_64,3388,3.9,2.37
aarch64,3148,3.9,2.39
aarch64,3086,3.12,2.28
aarch64,2777,3.11,2.26
x86_64,2367,3.8,2.23
aarch64,2327,3.8,2.28
aarch64,2115,3.8,2.35
x86_64,2087,3.13,2.17
x86_64,1799,3.9,2.24
aarch64,1661,3.8,2.36
aarch64,1471,3.13,2.28
aarch64,1406,3.11,2.38
x86_64,1285,3.11,2.22
aarch64,1145,3.12,2.40
x86_64,1055,3.10,2.32
x86_64,1047,3.8,2.41
x86_64,952,3.8,2.32
aarch64,863,3.11,2.37
x86_64,753,3.9,2.38
x86_64,713,3.10,2.23
aarch64,680,3.9,2.17
aarch64,674,3.10,2.41
x86_64,665,3.9,2.32
aarch64,649,3.12,2.26
x86_64,638,3.8,2.24
x86_64,560,3.14,2.39
x86_64,537,3.9,2.22
x86_64,537,3.9,2.23
aarch64,524,3.11,2.17
x86_64,514,3.12,2.37
aarch64,468,3.12,2.17
aarch64,443,3.10,2.27
aarch64,441,3.10,2.17
x86_64,412,3.13,2.38
aarch64,384,3.13,2.40
aarch64,358,3.13,2.17
aarch64,329,3.11,2.40
x86_64,310,3.13,2.27
armv7l,276,3.9,2.31
x86_64,268,3.12,2.32
x86_64,266,3.8,2.38
s390x,262,3.12,2.39
x86_64,253,3.11,2.32
x86_64,248,3.8,2.40
x86_64,235,3.14,2.36
aarch64,230,3.10,2.40
x86_64,214,3.9,2.19
x86_64,177,3.11,2.23
x86_64,173,3.8,2.37
ppc64le,162,3.12,2.39
ppc64le,161,3.12,2.34
x86_64,157,3.8,2.22
x86_64,156,3.13,2.26
aarch64,150,3.8,2.27
s390x,136,3.12,2.34
armv7l,131,3.11,2.36
aarch64,121,3.8,2.39
aarch64,120,3.14,2.39
ppc64le,118,3.11,2.34
x86_64,118,3.8,2.19
s390x,114,3.12,2.28
x86_64,104,3.14,2.41
aarch64,97,3.9,2.27
s390x,97,3.11,2.34
x86_64,94,3.11,2.33
aarch64,94,3.9,2.41
aarch64,72,3.11,2.23
x86_64,70,3.12,2.23
x86_64,66,3.10,2.30
x86_64,65,3.14,2.35
x86_64,45,3.8,2.33
x86_64,43,3.11,2.24
x86_64,41,3.13,2.32
ppc64le,40,3.11,2.28
s390x,40,3.13,2.41
x86_64,40,3.9,2.18
ppc64le,40,3.13,2.41
aarch64,38,3.11,2.32
aarch64,37,3.8,2.34
x86_64,36,3.9,2.29
x86_64,36,3.14,2.31
s390x,35,3.11,2.28
aarch64,34,3.12,2.27
x86_64,32,3.13,2.25
aarch64,31,3.11,2.27
ppc64le,30,3.10,2.34
x86_64,27,3.9,2.12
x86_64,26,3.10,2.22
x86_64,26,3.10,2.19
x86_64,26,3.13,2.23
x86_64,26,3.12,2.19
aarch64,23,3.9,2.40
x86_64,21,3.10,2.24
x86_64,21,3.8,2.5
i686,21,3.9,2.12
i686,21,3.8,2.5
x86_64,20,3.15,2.41
aarch64,18,3.8,2.24
x86_64,16,3.13,2.33
aarch64,16,3.13,2.27
armv7l,16,3.10,2.35
aarch64,15,3.9,2.33
x86_64,15,3.12,2.24
x86_64,14,3.13,2.37
x86_64,14,3.10,2.18
x86_64,13,3.12,2.22
x86_64,12,3.9,2.30
aarch64,12,3.13,2.38
ppc64le,12,3.11,2.17
aarch64,11,3.14,2.41
armv7l,10,3.12,2.36
armv7l,10,3.8,2.28
i686,9,3.11,2.36
aarch64,9,3.9,2.38
ppc64le,8,3.9,2.28
armv7l,8,3.10,2.31
x86_64,8,3.15,2.35
aarch64,8,3.12,2.33
armv7l,8,3.8,2.30
armv7l,8,3.13,2.31
armv7l,8,3.12,2.39
aarch64,8,3.14,2.31
aarch64,8,3.15,2.35
x86_64,7,3.11,2.30
x86_64,7,3.12,2.33
armv7l,6,3.12,2.31
aarch64,6,3.13,2.33
x86_64,6,3.8,2.30
armv7l,6,3.13,2.36
x86_64,6,3.13,2.30
ppc64le,6,3.12,2.28
x86_64,6,3.14,2.34
x86_64,6,3.14,2.40
aarch64,6,3.14,2.36
aarch64,6,3.8,2.41
armv7l,6,3.11,2.31
armv7l,6,3.9,2.36
x86_64,5,3.12,2.18
armv7l,5,3.13,2.41
ppc64le,5,3.9,2.34
s390x,4,3.9,2.28
x86_64,4,3.8,2.29
x86_64,4,3.12,2.29
aarch64,4,3.8,2.32
aarch64,4,3.11,2.30
x86_64,4,3.12,2.30
i686,4,3.9,2.31
armv7l,4,3.10,2.36
x86_64,4,3.15,2.36
s390x,4,3.9,2.34
s390x,4,3.12,2.36
x86_64,4,3.10,2.29
aarch64,4,3.12,2.41-1
x86_64,3,3.13,2.24
armv8l,3,3.12,2.31
x86_64,3,3.8,2.12
aarch64,3,3.9,2.32
armv7l,3,3.13,2.28
armv7l,2,3.10,2.28
armv7l,2,3.12,2.35
aarch64,2,3.12,2.20-2014
x86_64,2,3.15,2.39
x86_64,2,3.10,2.12
armv8l,2,3.8,2.31
armv7l,2,3.11,2.35
x86_64,2,3.13,2.18
x86_64,2,3.13,2.29
armv7l,2,3.12,2.40
s390x,2,3.10,2.28
armv7l,2,3.9,2.35
x86_64,2,3.14,2.28
armv8l,2,3.10,2.35
x86_64,2,3.11,2.29
armv7l,2,3.8,2.36
ppc64le,2,3.11,2.31
armv7l,2,3.13,2.35
aarch64,1,3.8,2.19
x86_64,1,3.10,2.5
