cpu,num_downloads,python_version,pip_version,glibc_version
x86_64,4439556,3.8,21.0,2.31
x86_64,1542311,3.7,20.2,2.26
x86_64,1204735,3.7,22.3,2.26
x86_64,1179887,3.6,21.3,2.17
x86_64,911423,3.8,22.3,2.31
x86_64,857310,3.7,20.0,2.27
x86_64,644885,3.8,21.2,2.27
x86_64,614555,3.9,21.2,2.31
x86_64,564176,3.8,22.0,2.31
x86_64,472881,3.7,20.2,2.28
x86_64,444600,3.7,9.0,2.27
x86_64,417368,3.6,20.1,2.28
x86_64,400436,3.6,21.0,2.27
x86_64,387855,2.7,9.0,2.27
x86_64,385701,3.7,22.3,2.27
x86_64,379475,3.8,22.3,2.27
x86_64,375394,3.9,22.3,2.31
x86_64,341096,3.7,21.3,2.26
x86_64,309672,3.7,22.3,2.28
x86_64,289174,3.9,22.3,2.28
x86_64,288540,3.7,22.3,2.31
x86_64,264479,3.7,22.0,2.31
x86_64,261248,3.8,22.0,2.27
x86_64,249912,3.6,21.3,2.27
x86_64,248727,2.7,9.0,2.17
x86_64,242559,3.6,21.1,2.28
x86_64,233627,3.7,9.0,2.26
x86_64,232733,3.8,22.3,2.35
x86_64,230628,3.6,9.0,2.17
x86_64,220384,3.9,22.0,2.31
x86_64,218611,3.8,20.2,2.27
x86_64,218142,3.10,22.3,2.35
x86_64,217421,3.6,20.3,2.17
x86_64,210405,3.8,22.2,2.31
x86_64,200479,3.9,22.3,2.35
x86_64,199252,3.8,21.3,2.31
x86_64,174868,3.8,20.0,2.31
x86_64,172728,3.8,22.3,2.28
x86_64,167081,3.10,22.3,2.31
x86_64,161635,3.7,21.3,2.28
x86_64,142961,3.7,21.1,2.27
x86_64,128438,3.7,21.0,2.28
x86_64,126894,3.6,19.2,2.27
x86_64,126472,3.9,22.2,2.31
x86_64,125490,3.7,22.3,2.35
x86_64,124420,3.8,22.1,2.31
x86_64,123976,3.7,19.2,2.28
x86_64,123797,3.5,20.3,2.23
x86_64,106434,3.7,21.3,2.31
x86_64,105127,3.8,22.3,2.26
x86_64,98311,3.6,21.0,2.28
x86_64,95872,3.7,22.2,2.31
x86_64,93412,3.8,21.3,2.28
aarch64,91476,3.8,21.0,2.31
x86_64,91080,3.6,21.2,2.31
x86_64,90550,3.7,21.2,2.27
x86_64,90296,3.6,21.3,2.28
x86_64,84388,3.6,21.3,2.31
x86_64,83847,3.8,21.2,2.31
x86_64,81088,3.7,21.1,2.28
x86_64,79978,3.8,20.2,2.31
x86_64,75265,3.8,22.0,2.28
x86_64,69974,3.6,20.2,2.28
x86_64,69459,2.7,20.2,2.26
x86_64,69115,2.7,20.3,2.27
x86_64,68225,3.7,20.3,2.27
x86_64,68146,3.9,22.1,2.26
x86_64,65515,3.8,21.0,2.28
x86_64,65055,3.10,22.2,2.31
x86_64,63802,3.8,20.3,2.31
x86_64,63714,3.11,22.3,2.31
x86_64,61507,3.9,20.3,2.31
x86_64,60728,3.6,9.0,2.27
aarch64,60487,3.7,22.3,2.28
x86_64,59960,3.7,22.0,2.28
x86_64,59123,3.7,20.1,2.27
x86_64,58934,3.7,21.2,2.28
x86_64,58341,3.7,22.3,2.17
x86_64,58186,3.7,20.2,2.27
x86_64,56301,3.7,21.0,2.24
x86_64,55688,2.7,20.0,2.17
x86_64,55279,3.9,21.3,2.31
x86_64,54728,3.7,21.1,2.26
x86_64,54084,3.10,22.0,2.35
aarch64,52421,3.8,21.0,2.26
x86_64,52169,3.7,19.3,2.28
x86_64,51586,3.7,21.0,2.27
x86_64,51129,3.9,21.0,2.28
x86_64,50875,2.7,20.3,2.23
